Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90933, 91782, 4, 172, 171, 170, 2, 0, 0.11840324763193505
600-1200, 92049, 92589, 2, 154, 153, 152, 2, 0, 0.18472963564632167
1200-1800, 97689, 107884, 8, 114, 111, 102, 9, 0, 0.6446719757299962
1800-2400, 113763, 135437, 8, 107, 102, 86, 18, 0, 1.6417721518987343
2400-3000, 116551, 127672, 11, 81, 74, 72, 10, 0, 0.684338817794028
3000-3600, 115404, 148400, 9, 84, 70, 62, 20, 0, 1.8881621975147156
3600-4200, 126775, 173734, 16, 99, 88, 76, 21, 0, 2.6504223521767383
4200-4800, 133925, 257054, 19, 129, 104, 71, 55, 0, 10.847316310578426
4800-5400, 166888, 311379, 22, 139, 115, 79, 57, 0, 13.278972207656004
5400-6000, 191739, 250151, 23, 113, 92, 86, 25, 0, 2.7930298719772404
6000-6600, 171224, 285875, 25, 118, 89, 71, 44, 0, 7.313019390581718
6600-7200, 215463, 298902, 24, 116, 91, 85, 28, 0, 3.3110266159695816
7200-7800, 325845, 672745, 24, 248, 194, 122, 138, 0, 34.923857868020306
7800-8400, 304278, 519213, 26, 192, 141, 119, 70, 0, 12.859719438877756
