Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90945, 91377, 1, 181, None, 179, 2, 0, 0.1703147119677665
600-1200, 94344, 95578, 4, 146, 145, 143, 1, 0, 0.1601282246985193
1200-1800, 93661, 96711, 7, 103, 100, 98, 2, 0, 0.2652461425422483
1800-2400, 100257, 107118, 19, 82, 78, 75, 3, 0, 0.3002663115845539
2400-3000, 115775, 139318, 13, 94, 84, 77, 14, 0, 1.2381909547738694
3000-3600, 113018, 144952, 21, 88, 82, 68, 18, 0, 1.8811023622047245
3600-4200, 121151, 187685, 26, 104, 78, 65, 35, 0, 5.893470790378007
4200-4800, 135283, 181392, 25, 88, 73, 65, 23, 0, 2.8226244343891405
4800-5400, 145956, 213705, 24, 95, 71, 62, 28, 0, 3.6713470820535323
5400-6000, 155512, 316850, 28, 131, 109, 70, 59, 0, 12.59295967190704
6000-6600, 170289, 342171, 38, 137, 111, 67, 65, 0, 12.178645473393228
6600-7200, 272539, 384602, 34, 148, 112, 107, 37, 0, 7.023648648648648
7200-7800, 242000, 364482, 29, 135, 104, 90, 42, 0, 5.815487949427104
7800-8400, 306393, 544205, 30, 184, 134, 103, 82, 0, 17.338471023427868
