Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90782, 90782, 1, 211, None, 210, 3, 0, 0.32157394843962006
600-1200, 90722, 93124, 8, 170, 168, 167, 3, 0, 0.29593908629441623
1200-1800, 96134, 100863, 6, 121, 117, 113, 6, 0, 0.4136403897254207
1800-2400, 109353, 119904, 12, 130, 124, 120, 7, 0, 0.6597510373443983
2400-3000, 117530, 132154, 16, 121, 109, 107, 9, 0, 0.8021534320323015
3000-3600, 124409, 147693, 10, 123, 106, 103, 16, 0, 1.3648854961832062
3600-4200, 142808, 272150, 14, 202, 188, 109, 98, 0, 21.32135306553911
4200-4800, 179571, 232957, 14, 170, 154, 129, 37, 0, 4.731411229135053
4800-5400, 165475, 225825, 16, 170, 143, 123, 42, 0, 5.196638655462185
5400-6000, 236159, 346577, 17, 228, 185, 160, 62, 0, 9.175824175824175
6000-6600, 270700, 336321, 16, 208, 168, 165, 38, 0, 4.5239669421487605
6600-7200, 300070, 438323, 16, 278, 207, 190, 83, 0, 11.379834254143647
7200-7800, 357147, 487571, 14, 293, 234, 220, 69, 0, 9.312584573748309
7800-8400, 343855, 507733, 17, 311, 227, 208, 118, 0, 19.056417489421722
