Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91375, 91375, 1, 196, None, 195, 2, 0, 0.25
600-1200, 91342, 92138, 3, 156, 155, 154, 2, 0, 0.2890664003994009
1200-1800, 96645, 99759, 6, 120, 117, 115, 3, 0, 0.30303030303030304
1800-2400, 106820, 112821, 7, 117, 112, 110, 8, 0, 0.5041928721174004
2400-3000, 115631, 135032, 6, 115, 108, 98, 14, 0, 1.2233632862644417
3000-3600, 130922, 163932, 9, 125, 104, 101, 21, 0, 2.08551724137931
3600-4200, 148366, 199112, 12, 142, 123, 108, 31, 0, 3.5861581920903953
4200-4800, 164027, 248828, 18, 158, 139, 105, 49, 0, 6.838801711840229
4800-5400, 201152, 260323, 17, 151, 127, 117, 29, 0, 3.781758957654723
5400-6000, 197793, 267178, 15, 156, 120, 113, 37, 0, 4.29757785467128
6000-6600, 262389, 383347, 16, 222, 150, 143, 72, 0, 11.406976744186046
6600-7200, 333871, 666678, 14, 358, 309, 179, 174, 0, 36.824742268041234
7200-7800, 395668, 634532, 19, 330, 269, 210, 112, 0, 20.22133938706016
7800-8400, 417140, 616633, 17, 322, 271, 215, 99, 0, 17.09348093480935
