Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90241, 90757, 1, 162, None, 160, 1, 0, 0.06434872859366891
600-1200, 91203, 92154, 4, 115, 114, 113, 1, 0, 0.0429042904290429
1200-1800, 97916, 101168, 8, 83, 81, 80, 2, 0, 0.1295738269479122
1800-2400, 107683, 116655, 9, 82, 78, 76, 5, 0, 0.34370219275879654
2400-3000, 116594, 185679, 12, 102, 94, 62, 36, 0, 4.875435540069686
3000-3600, 111817, 129370, 14, 64, 57, 55, 6, 0, 0.41603053435114506
3600-4200, 158164, 227594, 13, 97, 85, 68, 25, 0, 4.574687669744704
4200-4800, 134473, 171455, 18, 67, 56, 54, 11, 0, 0.9835497835497835
4800-5400, 159705, 339688, 19, 121, 96, 59, 58, 0, 11.606135576447304
5400-6000, 167405, 293026, 20, 102, 69, 60, 39, 0, 7.953905249679898
6000-6600, 180275, 339990, 28, 111, 77, 60, 47, 0, 9.35877364644488
6600-7200, 265277, 474913, 23, 142, 113, 78, 60, 0, 13.367685137234593
7200-7800, 304955, 675176, 26, 188, 144, 90, 97, 0, 26.56048879837067
7800-8400, 309650, 503001, 30, 151, 105, 99, 48, 0, 7.4055459272097055
