Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90736, 90736, 1, 192, None, 191, 2, 0, 0.2391304347826087
600-1200, 91276, 93282, 3, 150, 148, 147, 2, 0, 0.21144278606965175
1200-1800, 93112, 97294, 5, 113, 110, 107, 4, 0, 0.3590563774490204
1800-2400, 100253, 109608, 15, 97, 91, 89, 6, 0, 0.44377729257641924
2400-3000, 107797, 130885, 9, 95, 89, 76, 17, 0, 1.6516018306636155
3000-3600, 120179, 163036, 20, 107, 85, 80, 26, 0, 3.289473684210526
3600-4200, 185204, 213939, 13, 136, 121, 118, 47, 0, 6.899383983572895
4200-4800, 139292, 238378, 27, 126, 97, 70, 52, 0, 9.44424985405721
4800-5400, 151977, 217046, 17, 118, 96, 83, 32, 0, 4.119603680113234
5400-6000, 172919, 225104, 28, 115, 92, 88, 24, 0, 2.2899454403741233
6000-6600, 228327, 357045, 30, 168, 132, 109, 55, 0, 9.05065452475811
6600-7200, 260637, 344090, 28, 151, 119, 115, 41, 0, 5.319813829787234
7200-7800, 318341, 492892, 29, 212, 150, 140, 78, 0, 12.834158415841584
7800-8400, 349382, 502200, 32, 202, 152, 137, 83, 0, 13.86448087431694
