Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90322, 90412, 1, 168, None, 166, 1, 0, 0.1011144332699103
600-1200, 90921, 91772, 4, 146, 145, 144, 1, 0, 0.16043790109475273
1200-1800, 95756, 98703, 7, 98, 96, 93, 3, 0, 0.21282615529707638
1800-2400, 104560, 117774, 8, 86, 79, 75, 8, 0, 0.7390808963159894
2400-3000, 104430, 136461, 11, 85, 77, 66, 16, 0, 1.6980491942324003
3000-3600, 149463, 174195, 18, 96, 87, 80, 23, 0, 2.7765017667844525
3600-4200, 143555, 216876, 15, 112, 91, 71, 38, 0, 6.148132950348789
4200-4800, 134595, 307038, 22, 140, 128, 61, 76, 0, 19.797560975609755
4800-5400, 149920, 406944, 20, 169, 153, 62, 105, 0, 30.898542100565308
5400-6000, 154377, 265696, 32, 107, 86, 64, 39, 0, 5.914748953974895
6000-6600, 179862, 331659, 26, 124, 100, 65, 54, 0, 10.667764705882353
6600-7200, 324488, 453141, 27, 164, 121, 118, 65, 0, 10.365140438630242
7200-7800, 297317, 443021, 29, 155, 112, 106, 45, 0, 6.943016281062554
7800-8400, 297168, 468943, 30, 157, 123, 96, 56, 0, 9.402212389380532
