Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90066, 91138, 6, 169, 168, 167, 1, 0, 0.2925, 0: 283, 1: 117
600-1200, 90846, 91854, 5, 134, 133, 132, 2, 0, 0.012178245225574315, 0: 3570, 1: 42, 2: 1
1200-1800, 94347, 97217, 7, 100, 97, 95, 3, 0, 0.12856878584201764, 0: 14201, 1: 1948, 2: 67, 3: 1
1800-2400, 98233, 106569, 16, 79, 75, 70, 4, 0, 0.3835705045278137, 0: 18098, 1: 6421, 2: 1639, 3: 114, 4: 10
2400-3000, 101153, 115654, 12, 76, 68, 65, 7, 0, 0.9774287699791522, 0: 17787, 1: 8765, 2: 4242, 3: 3016, 4: 2027, 5: 82, 6: 44, 7: 12
3000-3600, 110482, 150318, 15, 78, 65, 55, 8, 0, 1.0741734321684904, 0: 21255, 1: 8759, 2: 5714, 3: 3312, 4: 2117, 5: 1084, 6: 151, 7: 94, 8: 9
3600-4200, 121104, 202962, 23, 100, 88, 62, 10, 0, 1.365871931602838, 0: 19295, 1: 10682, 2: 7272, 3: 3198, 4: 1172, 5: 1790, 6: 769, 7: 803, 8: 328, 9: 61, 10: 12
4200-4800, 122549, 160235, 19, 72, 58, 56, 13, 0, 1.9038030763104186, 0: 16853, 1: 7000, 2: 5238, 3: 2434, 4: 2824, 5: 1675, 6: 1333, 7: 733, 8: 893, 9: 349, 10: 778, 11: 4, 12: 28, 13: 36
4800-5400, 134530, 354753, 26, 144, 128, 59, 19, 0, 2.4638132777514086, 0: 17100, 1: 10233, 2: 4353, 3: 3447, 4: 1569, 5: 4582, 6: 1676, 7: 1198, 8: 1471, 9: 752, 10: 748, 11: 412, 12: 249, 13: 436, 14: 212, 15: 11, 16: 2, 18: 2, 19: 4
5400-6000, 142822, 321415, 28, 131, 111, 56, 19, 0, 2.551016276621589, 0: 20239, 1: 7718, 2: 4320, 3: 6537, 4: 2226, 5: 901, 6: 1135, 7: 592, 8: 1144, 9: 588, 10: 714, 11: 729, 12: 547, 13: 520, 14: 209, 15: 798, 16: 331, 17: 112, 18: 29, 19: 7
6000-6600, 150716, 314363, 21, 112, 86, 55, 19, 0, 2.5898564435852083, 0: 17588, 1: 11635, 2: 4571, 3: 3973, 4: 1681, 5: 1206, 6: 1297, 7: 867, 8: 1032, 9: 577, 10: 1090, 11: 765, 12: 402, 13: 694, 14: 388, 15: 76, 16: 168, 17: 270, 18: 335, 19: 7
6600-7200, 210193, 329509, 26, 104, 74, 65, 27, 0, 3.515108559548279, 0: 15296, 1: 6135, 2: 4472, 3: 1206, 4: 1985, 5: 3512, 6: 1479, 7: 1003, 8: 1435, 9: 862, 10: 820, 11: 762, 12: 828, 13: 252, 14: 631, 15: 264, 16: 119, 17: 230, 18: 154, 19: 434, 20: 81, 21: 184, 22: 56, 23: 9, 24: 4, 25: 4, 26: 55, 27: 55
7200-7800, 196813, 575425, 35, 182, 150, 68, 31, 0, 5.0331958840886735, 0: 15774, 1: 7507, 2: 7260, 3: 4383, 4: 2395, 5: 1756, 6: 1604, 7: 945, 8: 562, 9: 721, 10: 622, 11: 632, 12: 327, 13: 586, 14: 449, 15: 558, 16: 475, 17: 427, 18: 491, 19: 465, 20: 515, 21: 418, 22: 1714, 23: 398, 24: 651, 25: 700, 26: 149, 27: 287, 28: 80, 29: 6, 30: 9, 31: 2
7800-8400, 228016, 369243, 33, 116, 87, 72, 30, 0, 3.9055695371484846, 0: 18334, 1: 11208, 2: 4071, 3: 4294, 4: 2582, 5: 3246, 6: 740, 7: 467, 8: 881, 9: 569, 10: 285, 11: 1248, 12: 364, 13: 1235, 14: 269, 15: 641, 16: 890, 17: 554, 18: 325, 19: 769, 20: 436, 21: 428, 22: 345, 23: 353, 24: 194, 25: 20, 26: 4, 27: 2, 28: 68, 29: 6, 30: 6
