Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91300, 92130, 3, 130, 129, 128, 2, 0, 0.11541632316570487, 0: 1096, 1: 94, 2: 23
600-1200, 91339, 95589, 4, 141, 139, 135, 2, 0, 0.05561735261401557, 0: 856, 1: 36, 2: 7
1200-1800, 92777, 94301, 4, 96, 94, 93, 3, 0, 0.18790584415584416, 0: 2145, 1: 237, 2: 20, 3: 62
1800-2400, 95736, 104174, 7, 91, 86, 80, 5, 0, 0.23960240648705206, 0: 3030, 1: 693, 2: 85, 3: 8, 4: 6, 5: 1
2400-3000, 102293, 110218, 9, 79, 73, 72, 4, 0, 0.3113101903695409, 0: 4013, 1: 1122, 2: 148, 3: 50, 4: 25
3000-3600, 103378, 128065, 12, 86, 77, 70, 5, 0, 0.4883408619216213, 0: 5486, 1: 1769, 2: 674, 3: 170, 4: 87, 5: 5
3600-4200, 108108, 127599, 11, 75, 66, 62, 9, 0, 0.92576916815888, 0: 6140, 1: 3125, 2: 1598, 3: 964, 4: 241, 5: 155, 6: 34, 7: 16, 8: 11, 9: 2
4200-4800, 102814, 181409, 11, 99, 91, 58, 11, 0, 1.1705303270879643, 0: 5483, 1: 3352, 2: 1652, 3: 1209, 4: 510, 5: 263, 6: 28, 7: 12, 8: 13, 9: 17, 10: 30, 11: 27
4800-5400, 108360, 136903, 13, 78, 63, 60, 12, 0, 1.3753788761949173, 0: 4558, 1: 3942, 2: 1780, 3: 1285, 4: 593, 5: 446, 6: 193, 7: 27, 8: 20, 9: 12, 10: 2, 11: 5, 12: 4
5400-6000, 112580, 137182, 14, 73, 58, 57, 12, 0, 2.3530848687883865, 0: 4547, 1: 3150, 2: 2312, 3: 947, 4: 526, 5: 800, 6: 605, 7: 351, 8: 326, 9: 113, 10: 227, 11: 74, 12: 350
6000-6600, 119623, 164557, 12, 79, 59, 56, 12, 0, 2.1294879870422028, 0: 3371, 1: 2470, 2: 1826, 3: 928, 4: 862, 5: 281, 6: 695, 7: 142, 8: 260, 9: 175, 10: 57, 11: 35, 12: 11
6600-7200, 137581, 201110, 17, 87, 70, 60, 16, 0, 2.856301359901098, 0: 4334, 1: 2404, 2: 1270, 3: 651, 4: 1313, 5: 1189, 6: 699, 7: 840, 8: 279, 9: 85, 10: 154, 11: 133, 12: 259, 13: 53, 14: 14, 15: 68, 16: 6
7200-7800, 139901, 228067, 13, 99, 80, 62, 17, 0, 3.196252644303415, 0: 3422, 1: 2897, 2: 2545, 3: 2066, 4: 1034, 5: 1143, 6: 888, 7: 626, 8: 535, 9: 570, 10: 219, 11: 161, 12: 203, 13: 62, 14: 91, 15: 81, 17: 2
7800-8400, 153279, 246689, 15, 105, 82, 67, 17, 0, 3.454532269760696, 0: 3082, 1: 1824, 2: 2447, 3: 1332, 4: 1605, 5: 429, 6: 275, 7: 752, 8: 158, 9: 318, 10: 501, 11: 746, 12: 170, 13: 82, 14: 53, 15: 3, 16: 11, 17: 2
