Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90821, 91205, 1, 168, None, 165, 2, 0, 0.09157778595071718
600-1200, 93753, 96234, 3, 142, 141, 138, 2, 0, 0.14580031695721077
1200-1800, 96750, 104609, 6, 111, 107, 102, 6, 0, 0.384080370942813
1800-2400, 103824, 127339, 9, 106, 100, 85, 19, 0, 1.4759036144578312
2400-3000, 115277, 149853, 9, 97, 90, 75, 20, 0, 2.5477707006369426
3000-3600, 119757, 176792, 14, 99, 91, 68, 28, 0, 3.4602510460251046
3600-4200, 140566, 211579, 13, 107, 94, 71, 33, 0, 5.079194630872483
4200-4800, 156079, 192928, 12, 98, 81, 80, 15, 0, 1.4153297682709447
4800-5400, 181297, 245598, 10, 128, 97, 89, 35, 0, 4.34841628959276
5400-6000, 252902, 452009, 16, 202, 164, 117, 82, 0, 16.43888888888889
6000-6600, 304318, 402185, 16, 174, 141, 136, 50, 0, 5.461428571428572
6600-7200, 265920, 502127, 17, 209, 162, 108, 97, 0, 20.423482849604223
7200-7800, 347423, 505560, 16, 208, 153, 145, 58, 0, 8.616071428571429
7800-8400, 536082, 826489, 18, 318, 266, 204, 107, 0, 18.81094527363184
