Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91814, 92711, 1, 193, None, 190, 2, 0, 0.22976588628762543
600-1200, 92100, 95016, 5, 139, 138, 133, 4, 0, 0.23593708344441483
1200-1800, 94287, 108339, 5, 122, 114, 106, 14, 0, 0.9243203526818515
1800-2400, 107276, 125448, 13, 115, 110, 98, 19, 0, 1.7325137770241628
2400-3000, 110246, 126463, 18, 95, 86, 83, 10, 0, 0.6613285883748518
3000-3600, 112942, 144121, 12, 92, 75, 74, 15, 0, 1.3794416243654823
3600-4200, 126728, 161591, 15, 102, 85, 81, 18, 0, 1.9260042283298098
4200-4800, 134534, 178221, 13, 95, 74, 70, 22, 0, 2.376789751318764
4800-5400, 169297, 232033, 25, 120, 98, 84, 36, 0, 4.988341968911917
5400-6000, 175375, 315907, 23, 152, 106, 83, 65, 0, 13.676437429537767
6000-6600, 194407, 288986, 24, 134, 100, 90, 39, 0, 4.866573033707865
6600-7200, 223324, 357924, 21, 160, 122, 104, 54, 0, 8.690566037735849
7200-7800, 339021, 491154, 30, 218, 170, 149, 64, 0, 10.045112781954888
7800-8400, 330088, 519111, 28, 219, 171, 147, 78, 0, 12.878153515834676
