Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90441, 90816, 3, 171, 170, 169, 1, 0, 0.12017241379310345
600-1200, 91887, 94226, 7, 143, 142, 140, 1, 0, 0.23602959938759888
1200-1800, 96607, 106602, 9, 112, 108, 102, 7, 0, 0.5188536953242836
1800-2400, 99125, 105688, 12, 92, 87, 84, 6, 0, 0.266347687400319
2400-3000, 108887, 124142, 19, 85, 76, 72, 10, 0, 0.7450352338244715
3000-3600, 118243, 137611, 17, 89, 76, 73, 12, 0, 0.8667122351332878
3600-4200, 148058, 193761, 20, 107, 92, 80, 23, 0, 3.428824571766096
4200-4800, 158847, 226348, 21, 118, 103, 80, 40, 0, 5.90392749244713
4800-5400, 146672, 188608, 14, 87, 72, 69, 15, 0, 1.6938603868797308
5400-6000, 231708, 414041, 18, 193, 171, 114, 92, 0, 20.445121951219512
6000-6600, 180007, 421876, 21, 175, 153, 77, 95, 0, 24.20998023715415
6600-7200, 231798, 390976, 28, 157, 115, 98, 54, 0, 8.002375296912113
7200-7800, 276743, 459102, 31, 186, 144, 109, 72, 0, 12.0049369171695
7800-8400, 299848, 457085, 25, 169, 136, 113, 52, 0, 7.8770783847981
