Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90191, 90191, 1, 177, None, 176, 1, 0, 0.16204009693765148
600-1200, 90711, 91532, 3, 139, 138, 136, 1, 0, 0.18168067226890755
1200-1800, 94963, 103600, 12, 101, 96, 89, 9, 0, 0.5386422976501305
1800-2400, 98954, 124883, 8, 107, 100, 84, 20, 0, 2.0360692984947457
2400-3000, 109406, 136945, 8, 89, 82, 70, 16, 0, 1.938180540920267
3000-3600, 118242, 135734, 14, 73, 65, 62, 8, 0, 0.7291483757682178
3600-4200, 125276, 150526, 20, 79, 69, 64, 13, 0, 1.2073625349487418
4200-4800, 136480, 228824, 24, 114, 100, 66, 45, 0, 8.892957746478872
4800-5400, 153104, 232143, 27, 106, 81, 68, 35, 0, 5.583853516437786
5400-6000, 155494, 257703, 32, 110, 90, 66, 42, 0, 6.484289903644743
6000-6600, 206564, 283890, 25, 114, 87, 81, 41, 0, 5.400248344370861
6600-7200, 203506, 332779, 30, 128, 84, 79, 47, 0, 7.704
7200-7800, 242716, 548083, 41, 200, 163, 94, 102, 0, 21.5478021978022
7800-8400, 298987, 469763, 37, 166, 116, 105, 58, 0, 10.127291960507758
