Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91396, 91893, 2, 158, 157, 156, 1, 0, 0.025836279575741094
600-1200, 91466, 92157, 4, 123, 122, 120, 1, 0, 0.06442405708460755
1200-1800, 100980, 103451, 5, 85, 83, 82, 5, 0, 0.16923560868197546
1800-2400, 99681, 113200, 12, 74, 69, 65, 6, 0, 0.39603960396039606
2400-3000, 114800, 128538, 9, 68, 62, 61, 7, 0, 0.4973747016706444
3000-3600, 111236, 168885, 15, 80, 67, 50, 26, 0, 2.866043613707165
3600-4200, 138823, 177867, 16, 74, 64, 57, 20, 0, 2.1565126050420167
4200-4800, 135076, 180384, 20, 72, 59, 54, 15, 0, 1.4525633470830879
4800-5400, 152503, 244987, 19, 84, 54, 52, 29, 0, 4.648546824542519
5400-6000, 180329, 356890, 20, 116, 93, 58, 55, 0, 11.961724415793714
6000-6600, 209112, 572654, 30, 174, 134, 66, 105, 0, 31.35339861751152
6600-7200, 209046, 412848, 24, 117, 93, 56, 56, 0, 11.564224137931035
7200-7800, 264680, 455903, 24, 120, 92, 75, 51, 0, 9.252595155709342
7800-8400, 352569, 536022, 24, 145, 105, 99, 42, 0, 7.9283139767721265
