Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90795, 91225, 1, 157, None, 155, 1, 0, 0.02603282399547255
600-1200, 91811, 93139, 4, 124, 123, 122, 1, 0, 0.08436808981119238
1200-1800, 109385, 156138, 5, 127, 125, 89, 36, 0, 5.850794797687861
1800-2400, 99426, 127414, 10, 78, 72, 60, 15, 0, 1.5370313928680281
2400-3000, 111644, 132872, 15, 66, 60, 55, 8, 0, 0.5616438356164384
3000-3600, 109274, 126322, 12, 56, 49, 47, 6, 0, 0.4756728778467909
3600-4200, 120791, 161050, 25, 60, 51, 46, 11, 0, 1.2231842231842232
4200-4800, 141185, 226970, 18, 81, 67, 50, 28, 0, 5.25417661097852
4800-5400, 143585, 303009, 17, 93, 75, 43, 47, 0, 9.003505082369436
5400-6000, 174292, 339422, 22, 101, 76, 55, 43, 0, 9.575145498117083
6000-6600, 165776, 511332, 27, 141, 119, 49, 88, 0, 24.226355776788054
6600-7200, 237964, 352639, 30, 100, 80, 66, 30, 0, 4.67223807582552
7200-7800, 307892, 599865, 30, 150, 124, 78, 88, 0, 21.770037654653038
7800-8400, 243145, 368544, 31, 100, 70, 63, 32, 0, 3.986181483187471
