Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90930, 91308, 3, 165, 164, 163, 1, 0, 0.07643955550566843
600-1200, 90674, 91451, 3, 137, 136, 135, 2, 0, 0.13283950617283952
1200-1800, 95677, 99521, 11, 93, 90, 89, 2, 0, 0.17160073356038774
1800-2400, 111780, 119838, 13, 92, 85, 83, 14, 0, 0.9472698907956318
2400-3000, 107489, 118742, 18, 75, 69, 67, 5, 0, 0.3978013029315961
3000-3600, 112962, 171092, 16, 91, 79, 62, 26, 0, 3.462068965517241
3600-4200, 115933, 177828, 22, 87, 66, 57, 27, 0, 3.481829318089016
4200-4800, 127987, 177868, 24, 85, 62, 59, 24, 0, 2.5220653133274493
4800-5400, 150714, 231386, 24, 95, 78, 62, 30, 0, 5.041839270919636
5400-6000, 168228, 303722, 24, 109, 89, 63, 43, 0, 7.740673668960522
6000-6600, 188410, 289989, 26, 107, 82, 70, 35, 0, 5.063096720630967
6600-7200, 235849, 413223, 32, 148, 111, 86, 59, 0, 12.369378306878307
7200-7800, 228064, 522247, 29, 168, 114, 76, 88, 0, 21.121559633027523
7800-8400, 290133, 460943, 34, 154, 108, 96, 53, 0, 8.45715310147006
