Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90686, 92197, 7, 182, 181, 180, 2, 0, 0.1751958224543081
600-1200, 91681, 94246, 9, 156, 151, 150, 2, 0, 0.24919583727530747
1200-1800, 95500, 102306, 9, 106, 103, 99, 5, 0, 0.3321533923303835
1800-2400, 107428, 115838, 11, 95, 90, 88, 12, 0, 0.9079365079365079
2400-3000, 106993, 155223, 15, 113, 104, 74, 36, 0, 3.6058091286307055
3000-3600, 120173, 161319, 16, 98, 82, 69, 25, 0, 3.1756513926325245
3600-4200, 133192, 208342, 17, 123, 103, 81, 40, 0, 6.249486230990547
4200-4800, 138945, 211350, 20, 112, 90, 73, 35, 0, 5.770862800565771
4800-5400, 143369, 226266, 24, 115, 80, 66, 44, 0, 6.358358358358358
5400-6000, 177302, 249667, 27, 111, 84, 82, 26, 0, 3.527327935222672
6000-6600, 206742, 335875, 34, 142, 113, 93, 46, 0, 9.177489177489177
6600-7200, 194775, 342840, 32, 136, 104, 78, 54, 0, 9.344591287322565
7200-7800, 210151, 318599, 30, 129, 86, 81, 43, 0, 4.954123112659698
7800-8400, 346202, 637668, 38, 228, 182, 130, 103, 0, 24.65479274611399
