Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90018, 90018, 1, 193, None, 192, 2, 0, 0.2610890732059142
600-1200, 92199, 93892, 4, 162, 160, 157, 3, 0, 0.2988624612202689
1200-1800, 93658, 99384, 6, 120, 116, 111, 5, 0, 0.39487179487179486
1800-2400, 101098, 107999, 9, 109, 104, 99, 8, 0, 0.36363636363636365
2400-3000, 109985, 135693, 11, 113, 101, 89, 20, 0, 1.733674775928297
3000-3600, 120752, 158124, 11, 127, 101, 98, 27, 0, 2.147945205479452
3600-4200, 150084, 183797, 13, 126, 109, 98, 24, 0, 2.4309559939301972
4200-4800, 175375, 273651, 13, 188, 164, 117, 68, 0, 11.71515892420538
4800-5400, 179027, 231784, 13, 165, 137, 130, 31, 0, 3.43125
5400-6000, 177960, 237534, 17, 148, 112, 108, 36, 0, 3.6768402154398565
6000-6600, 258267, 424963, 18, 246, 196, 149, 92, 0, 16.8748370273794
6600-7200, 425449, 529380, 14, 302, 254, 243, 65, 0, 11.039080459770116
7200-7800, 374378, 708749, 19, 378, 336, 203, 178, 0, 43.50730688935282
7800-8400, 332159, 617169, 16, 334, 256, 177, 150, 0, 26.922769640479363
