Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91188, 91599, 1, 219, None, 216, 3, 0, 0.3677811550151976
600-1200, 91587, 93003, 2, 170, 169, 167, 3, 0, 0.37086776859504134
1200-1800, 95682, 106382, 9, 143, 137, 128, 12, 0, 0.830806065442937
1800-2400, 101003, 116599, 10, 122, 114, 106, 13, 0, 0.7755331088664422
2400-3000, 113617, 135813, 11, 127, 108, 99, 23, 0, 1.907672301690507
3000-3600, 135662, 162314, 9, 147, 137, 125, 23, 0, 2.813229571984436
3600-4200, 144245, 200025, 15, 166, 138, 114, 48, 0, 5.727785613540197
4200-4800, 174251, 259883, 14, 180, 151, 121, 56, 0, 9.810026385224274
4800-5400, 165948, 235169, 15, 156, 118, 113, 39, 0, 4.307820299500832
5400-6000, 224331, 318161, 16, 220, 179, 153, 63, 0, 9.889908256880734
6000-6600, 303085, 604511, 14, 380, 318, 199, 178, 0, 42.077767612076855
6600-7200, 299504, 455433, 16, 272, 209, 180, 93, 0, 14.644475920679886
7200-7800, 311056, 418484, 19, 255, 207, 193, 58, 0, 7.334453781512605
7800-8400, 482446, 647883, 18, 373, 287, 276, 92, 0, 14.366071428571429
