Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90737, 91216, 1, 160, None, 158, 1, 0, 0.04591129591129591
600-1200, 90659, 91505, 3, 126, 125, 124, 1, 0, 0.05345669493703418
1200-1800, 96805, 101013, 4, 88, 84, 82, 2, 0, 0.12797739200645944
1800-2400, 101653, 123913, 8, 89, 82, 69, 16, 0, 1.50999000999001
2400-3000, 117709, 133940, 13, 78, 71, 68, 17, 0, 1.0064365125804564
3000-3600, 121426, 179663, 15, 91, 82, 59, 28, 0, 3.4522222222222223
3600-4200, 131591, 170498, 17, 74, 66, 56, 16, 0, 1.9405286343612336
4200-4800, 139402, 228962, 17, 86, 74, 51, 32, 0, 5.303877940241577
4800-5400, 156646, 262355, 19, 98, 84, 60, 35, 0, 6.0813953488372094
5400-6000, 242017, 334908, 24, 113, 87, 83, 38, 0, 6.427400468384075
6000-6600, 236525, 416183, 15, 131, 97, 77, 51, 0, 10.814225053078557
6600-7200, 271861, 399192, 19, 123, 100, 83, 37, 0, 6.247453565008987
7200-7800, 316371, 492095, 27, 146, 106, 97, 47, 0, 9.285101822079314
7800-8400, 310355, 464702, 26, 128, 95, 84, 41, 0, 5.692158133506156
