Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90795, 91311, 1, 188, None, 186, 2, 0, 0.21475446933695405
600-1200, 90714, 92682, 5, 151, 150, 148, 2, 0, 0.22984562607204118
1200-1800, 104021, 109619, 9, 133, 129, 124, 7, 0, 0.6183243508084273
1800-2400, 100376, 120294, 7, 118, 109, 99, 17, 0, 1.05125
2400-3000, 106978, 125112, 11, 106, 94, 88, 13, 0, 1.1868932038834952
3000-3600, 128111, 163347, 17, 120, 110, 91, 24, 0, 2.7779540047581284
3600-4200, 132603, 189426, 15, 129, 109, 89, 37, 0, 5.415841584158416
4200-4800, 162111, 202343, 20, 130, 108, 103, 25, 0, 2.675803402646503
4800-5400, 180663, 264012, 17, 156, 106, 103, 50, 0, 7.312602291325695
5400-6000, 239472, 320108, 22, 175, 148, 132, 49, 0, 6.158326497128794
6000-6600, 222108, 481340, 25, 254, 226, 122, 127, 0, 31.467032967032967
6600-7200, 258970, 344501, 22, 185, 148, 140, 51, 0, 5.79043062200957
7200-7800, 339109, 483447, 23, 237, 190, 167, 65, 0, 10.39667458432304
7800-8400, 329465, 608526, 24, 292, 213, 157, 130, 0, 24.925470332850942
