Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90028, 90938, 3, 157, 156, 155, 1, 0, 0.03274760383386582
600-1200, 93106, 94963, 2, 113, 112, 110, 1, 0, 0.029638943775821807
1200-1800, 98813, 107089, 7, 95, 90, 86, 8, 0, 0.3654501216545012
1800-2400, 101657, 114175, 9, 71, 67, 62, 7, 0, 0.35736460848568474
2400-3000, 115349, 131474, 10, 67, 59, 58, 10, 0, 0.7388059701492538
3000-3600, 121909, 147970, 15, 64, 57, 50, 11, 0, 0.8865342163355409
3600-4200, 128063, 196660, 16, 78, 60, 51, 24, 0, 3.6408100878868934
4200-4800, 139223, 193362, 19, 66, 55, 48, 15, 0, 1.96208969024503
4800-5400, 140009, 229220, 19, 74, 47, 45, 25, 0, 4.3896162528216705
5400-6000, 175866, 304514, 24, 91, 78, 54, 38, 0, 7.664357197844496
6000-6600, 189668, 287634, 26, 82, 61, 53, 25, 0, 3.8890959925442683
6600-7200, 220507, 366889, 24, 101, 70, 60, 38, 0, 5.782472613458529
7200-7800, 257775, 606420, 24, 149, 124, 64, 82, 0, 21.014805194805195
7800-8400, 341559, 955546, 27, 226, 183, 87, 139, 0, 44.08359827940902
