Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91464, 91797, 1, 189, None, 187, 3, 0, 0.20488845144356954
600-1200, 92111, 92844, 4, 156, 155, 153, 2, 0, 0.2828232971372162
1200-1800, 93007, 98900, 7, 115, 112, 107, 5, 0, 0.34824527574238334
1800-2400, 102409, 121630, 13, 106, 102, 90, 14, 0, 1.1775491949910555
2400-3000, 114686, 152533, 15, 109, 101, 82, 25, 0, 2.8979489744872438
3000-3600, 115383, 145400, 12, 98, 82, 77, 19, 0, 1.6264367816091954
3600-4200, 129103, 172533, 16, 103, 91, 75, 24, 0, 2.571899736147757
4200-4800, 171581, 416089, 16, 216, 191, 92, 132, 0, 38.86449951721918
4800-5400, 183542, 237521, 25, 126, 104, 97, 25, 0, 3.4638709677419355
5400-6000, 195654, 340391, 19, 163, 137, 89, 71, 0, 12.257236482796285
6000-6600, 204230, 319929, 25, 153, 122, 100, 49, 0, 8.650823827629912
6600-7200, 261326, 364396, 23, 163, 134, 114, 55, 0, 7.698824984539271
7200-7800, 312117, 585501, 23, 248, 197, 138, 106, 0, 23.131247283789655
7800-8400, 382849, 671529, 28, 282, 174, 159, 119, 0, 27.495274914089347
