Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90152, 90772, 2, 173, 172, 171, 2, 0, 0.13119015047879617
600-1200, 93240, 93735, 3, 142, 141, 140, 2, 0, 0.14649298597194388
1200-1800, 96065, 101629, 5, 99, 95, 93, 3, 0, 0.26270928462709286
1800-2400, 101064, 116810, 11, 91, 87, 77, 12, 0, 0.7552043176561295
2400-3000, 104759, 119827, 14, 83, 76, 72, 7, 0, 0.4800583657587549
3000-3600, 108313, 132629, 17, 78, 70, 64, 11, 0, 0.8471302428256071
3600-4200, 131472, 173964, 21, 86, 74, 64, 20, 0, 1.7299748110831235
4200-4800, 132061, 167074, 19, 77, 62, 60, 14, 0, 1.468944099378882
4800-5400, 165024, 245004, 22, 113, 94, 79, 32, 0, 4.330188679245283
5400-6000, 181821, 381035, 20, 155, 133, 79, 74, 0, 17.87057172921782
6000-6600, 172883, 288937, 25, 110, 85, 63, 43, 0, 7.243199129488574
6600-7200, 228841, 405116, 25, 153, 123, 87, 60, 0, 11.985382631126397
7200-7800, 231685, 353071, 28, 125, 92, 85, 38, 0, 5.716230366492146
7800-8400, 299125, 469282, 25, 155, 105, 98, 54, 0, 9.752645502645503
