Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90136, 90136, 1, 165, None, 164, 1, 0, 0.08985085485631139
600-1200, 92215, 96378, 2, 139, 138, 133, 3, 0, 0.22595078299776286
1200-1800, 111053, 114673, 7, 106, 104, 102, 9, 0, 0.6480263157894737
1800-2400, 107036, 115939, 7, 89, 82, 79, 6, 0, 0.3770491803278688
2400-3000, 104656, 115596, 9, 83, 75, 73, 8, 0, 0.3966049382716049
3000-3600, 123020, 147771, 9, 93, 84, 76, 13, 0, 1.0992125984251968
3600-4200, 147285, 175641, 11, 102, 86, 83, 16, 0, 0.9546925566343042
4200-4800, 202923, 292399, 12, 142, 116, 93, 48, 0, 9.082026537997587
4800-5400, 223241, 336697, 13, 158, 131, 107, 66, 0, 9.40516129032258
5400-6000, 202938, 271898, 15, 120, 101, 92, 25, 0, 3.2754919499105544
6000-6600, 247222, 441103, 14, 200, 171, 117, 81, 0, 14.195849546044098
6600-7200, 282082, 551072, 15, 222, 194, 117, 104, 0, 22.23370786516854
7200-7800, 349243, 808859, 13, 322, 264, 139, 180, 0, 46.438130155820346
7800-8400, 375195, 714932, 19, 267, 180, 139, 122, 0, 25.978855721393035
