Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91359, 91359, 1, 182, None, 181, 1, 0, 0.17403351365615516
600-1200, 92778, 94925, 6, 138, 136, 132, 3, 0, 0.17907072368421054
1200-1800, 96323, 100338, 8, 104, 102, 100, 3, 0, 0.26867545511613306
1800-2400, 98031, 126875, 12, 103, 92, 78, 23, 0, 2.3269096005606165
2400-3000, 117277, 149463, 18, 114, 109, 89, 22, 0, 2.0669424595712673
3000-3600, 135888, 155598, 12, 98, 85, 83, 23, 0, 1.8512206356517733
3600-4200, 128603, 181240, 21, 100, 87, 70, 27, 0, 3.7793904208998548
4200-4800, 133214, 171114, 20, 87, 72, 69, 14, 0, 1.3926829268292682
4800-5400, 190786, 283829, 27, 147, 124, 100, 42, 0, 7.779012345679012
5400-6000, 171593, 246037, 26, 108, 87, 76, 29, 0, 3.88171459576777
6000-6600, 229507, 312690, 22, 139, 113, 105, 31, 0, 4.55108798486282
6600-7200, 223316, 549740, 29, 219, 182, 92, 122, 0, 29.8925
7200-7800, 250274, 513711, 28, 202, 156, 101, 97, 0, 19.867801521187975
7800-8400, 259970, 500616, 32, 181, 106, 98, 77, 0, 16.162448979591836
