Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91032, 91350, 1, 164, None, 162, 1, 0, 0.0707555250985095
600-1200, 90810, 91979, 3, 113, 112, 111, 2, 0, 0.0844950213371266
1200-1800, 95550, 100209, 7, 90, 88, 86, 2, 0, 0.2080758137618459
1800-2400, 126714, 134174, 8, 86, 82, 80, 18, 0, 2.0139576767221974
2400-3000, 111089, 136042, 8, 79, 69, 64, 12, 0, 0.9622754491017964
3000-3600, 109426, 132933, 14, 67, 59, 55, 10, 0, 0.8969380134428678
3600-4200, 132918, 184810, 13, 78, 67, 57, 19, 0, 2.1683300066533597
4200-4800, 159845, 218078, 18, 83, 69, 60, 20, 0, 3.1329639889196677
4800-5400, 166892, 229369, 19, 86, 70, 59, 23, 0, 2.500728862973761
5400-6000, 178922, 288330, 22, 96, 71, 60, 33, 0, 5.336673346693387
6000-6600, 259289, 581017, 24, 190, 163, 88, 103, 0, 28.844846693756928
6600-7200, 334581, 597801, 24, 181, 153, 105, 71, 0, 14.893713813068652
7200-7800, 246871, 428447, 25, 123, 96, 67, 51, 0, 8.924764890282132
7800-8400, 304240, 553470, 30, 150, 94, 85, 62, 0, 14.52411575562701
