Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91469, 93677, 1, 212, None, 207, 3, 0, 0.3349088453747468
600-1200, 94645, 95423, 5, 166, 165, 163, 4, 0, 0.2845953002610966
1200-1800, 98627, 101085, 4, 140, 137, 135, 7, 0, 0.46808510638297873
1800-2400, 131035, 146085, 13, 159, 155, 145, 42, 0, 3.9442993907745865
2400-3000, 110067, 135498, 11, 127, 110, 105, 18, 0, 1.5434782608695652
3000-3600, 137597, 164933, 15, 144, 133, 121, 19, 0, 1.7362045760430687
3600-4200, 178976, 225592, 17, 172, 144, 134, 65, 0, 8.333732057416269
4200-4800, 160219, 218599, 17, 166, 143, 116, 46, 0, 6.439509954058193
4800-5400, 178361, 290583, 15, 195, 170, 125, 65, 0, 11.78808864265928
5400-6000, 225139, 296013, 19, 206, 169, 156, 47, 0, 4.799701046337818
6000-6600, 255302, 440027, 17, 301, 225, 185, 111, 0, 19.348864994026286
6600-7200, 381900, 590499, 16, 363, 317, 235, 120, 0, 27.990919409761634
7200-7800, 353740, 453070, 15, 294, 234, 229, 62, 0, 6.833333333333333
7800-8400, 359365, 587054, 16, 335, 209, 201, 130, 0, 24.635474860335197
