Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91284, 91650, 1, 196, None, 194, 2, 0, 0.2473625140291807
600-1200, 91913, 94018, 4, 152, 151, 148, 2, 0, 0.28412537917087965
1200-1800, 94977, 100791, 11, 114, 110, 107, 4, 0, 0.3595980962453728
1800-2400, 116754, 131947, 12, 114, 106, 101, 22, 0, 1.9561998766193707
2400-3000, 128747, 141369, 12, 108, 100, 98, 16, 0, 1.2477744807121662
3000-3600, 132348, 157089, 17, 109, 97, 93, 18, 0, 1.7274233637116818
3600-4200, 124055, 170031, 16, 102, 88, 69, 30, 0, 3.2448979591836733
4200-4800, 135707, 234730, 21, 135, 121, 83, 48, 0, 8.44237012987013
4800-5400, 183472, 277751, 20, 145, 113, 96, 47, 0, 8.267857142857142
5400-6000, 186746, 405431, 20, 202, 170, 97, 101, 0, 23.944896681277395
6000-6600, 223210, 555195, 20, 251, 211, 109, 137, 0, 34.202216066481995
6600-7200, 263519, 581285, 22, 265, 212, 123, 136, 0, 28.688009313154833
7200-7800, 277916, 543440, 20, 245, 196, 133, 102, 0, 23.797287651677372
7800-8400, 387360, 723238, 23, 289, 241, 165, 146, 0, 29.495215311004785
