Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90793, 91624, 3, 163, 162, 161, 1, 0, 0.06566954896003739
600-1200, 90756, 91305, 2, 126, 125, 124, 2, 0, 0.14928649835345773
1200-1800, 100654, 104055, 10, 96, 94, 92, 4, 0, 0.2042368278109723
1800-2400, 139914, 148970, 8, 106, 101, 96, 19, 0, 2.0232281119714117
2400-3000, 107146, 118294, 10, 71, 64, 62, 4, 0, 0.30492424242424243
3000-3600, 142932, 163482, 11, 81, 72, 69, 17, 0, 1.5923623445825932
3600-4200, 170640, 226240, 9, 104, 91, 78, 29, 0, 4.90527950310559
4200-4800, 145928, 225651, 14, 99, 85, 61, 35, 0, 4.530201342281879
4800-5400, 151838, 237315, 19, 97, 64, 62, 31, 0, 4.02921129503408
5400-6000, 218081, 384837, 19, 143, 119, 88, 52, 0, 8.788252356780276
6000-6600, 256368, 349351, 17, 123, 96, 92, 31, 0, 4.436920222634508
6600-7200, 259974, 429089, 19, 146, 113, 93, 49, 0, 9.105711849957375
7200-7800, 328228, 496981, 18, 163, 122, 109, 50, 0, 7.7171875
7800-8400, 333389, 504197, 22, 154, 107, 102, 47, 0, 6.722172751558326
