Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90816, 92018, 3, 162, 161, 159, 1, 0, 0.05747544561658785
600-1200, 92444, 93200, 4, 139, 138, 137, 1, 0, 0.14180672268907563
1200-1800, 96184, 101859, 6, 95, 93, 89, 3, 0, 0.21863468634686348
1800-2400, 102826, 110742, 6, 90, 84, 83, 3, 0, 0.31742243436754175
2400-3000, 112847, 147909, 10, 114, 107, 86, 25, 0, 2.9885974914481186
3000-3600, 147088, 208386, 10, 117, 106, 81, 41, 0, 6.731791907514451
3600-4200, 146536, 178347, 13, 102, 90, 82, 15, 0, 1.5896226415094339
4200-4800, 161138, 220335, 12, 130, 114, 98, 27, 0, 3.6809453471196454
4800-5400, 195801, 299028, 15, 139, 118, 86, 57, 0, 10.299707602339181
5400-6000, 220954, 293815, 16, 132, 103, 99, 27, 0, 3.1578947368421053
6000-6600, 231649, 377067, 14, 167, 137, 103, 61, 0, 9.748872180451128
6600-7200, 364965, 520812, 16, 207, 167, 149, 56, 0, 7.806233062330623
7200-7800, 309719, 543176, 17, 220, 149, 130, 86, 0, 15.609271523178808
7800-8400, 384800, 554738, 15, 214, 148, 144, 67, 0, 10.124826629681
