Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90607, 91332, 2, 166, 165, 164, 1, 0, 0.020134228187919462, 18600, 37200, 54600, 73200, 91200
600-1200, 91891, 92551, 2, 133, 132, 131, 2, 0, 0.05993340732519423, 19800, 37800, 55200, 74400, 92400
1200-1800, 93034, 96691, 6, 92, 90, 88, 4, 0, 0.23657668347671315, 26400, 40800, 65400, 77400, 96600
1800-2400, 96731, 118229, 6, 91, 85, 76, 6, 0, 0.5421081985499163, 30600, 45600, 65400, 81600, 118200
2400-3000, 101125, 126020, 10, 87, 80, 67, 7, 0, 1.0446479679450487, 34200, 55200, 73800, 93600, 126000
3000-3600, 118563, 153256, 11, 94, 85, 73, 12, 0, 1.67931572873532, 45000, 60600, None, None, 153000
3600-4200, 120077, 152773, 11, 81, 67, 63, 18, 0, 2.473878771405273, None, 73800, None, None, 152400
4200-4800, 130311, 188602, 12, 98, 82, 68, 22, 0, 2.8283380541466308, None, None, None, 118200, 188400
4800-5400, 143569, 235374, 12, 112, 92, 66, 23, 0, 4.092438638163104, 90600, None, None, None, 235200
5400-6000, 153181, 325495, 13, 139, 121, 65, 32, 0, 7.046796464267144, None, None, None, None, 325200
6000-6600, 154904, 275638, 14, 132, 87, 75, 43, 0, 3.946204122674711, None, None, None, None, 275400
6600-7200, 188602, 406513, 15, 169, 138, 72, 44, 0, 8.23203125, None, None, None, 224400, 406200
7200-7800, 213216, 326231, 16, 130, 89, 80, 58, 0, 11.37957397448065, None, None, None, None, 325800
7800-8400, 264402, 636409, 17, 242, 195, 100, 59, 0, 10.900330210930656, None, None, None, None, 636000
