Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 91241, 91864, 1, 192, None, 190, 2, 0, 0.132996632996633, 18600, 37200, 54600, 72600, 91200
600-1200, 91391, 92900, 7, 156, 154, 153, 2, 0, 0.055776892430278883, 20400, 37800, 55800, 73800, 92400
1200-1800, 92523, 97211, 11, 104, 102, 99, 3, 0, 0.19359397079604335, 22200, 44400, 66600, 76200, 97200
1800-2400, 96370, 102612, 10, 82, 78, 76, 4, 0, 0.604786971541372, 28200, 54000, 70800, 85200, 102000
2400-3000, 100522, 133142, 16, 99, 92, 75, 6, 0, 0.7339203055708413, 36600, 60000, 70800, 92400, 132600
3000-3600, 110351, 146609, 14, 89, 75, 68, 9, 0, 1.3204407748092801, 57000, 67800, 80400, None, 146400
3600-4200, 114945, 188542, 24, 112, 99, 67, 12, 0, 1.7743907476249483, 54600, None, None, None, 187800
4200-4800, 123092, 193497, 26, 99, 70, 58, 17, 0, 2.297110552763819, 98400, None, 123000, None, 193200
4800-5400, 149775, 294828, 26, 136, 94, 72, 17, 0, 2.098413048269782, None, None, 117600, None, 294600
5400-6000, 152051, 396825, 35, 171, 137, 63, 28, 0, 3.1599428074798843, 108600, None, None, None, 396600
6000-6600, 220995, 322429, 33, 137, 102, 89, 33, 0, 4.0717192394011885, None, None, None, None, 322200
6600-7200, 189416, 364911, 33, 144, 112, 78, 41, 0, 4.127348918114013, 148200, None, None, None, 364200
7200-7800, 202893, 456081, 34, 175, 127, 77, 32, 0, 4.154262662869963, None, None, None, None, 455400
7800-8400, 278859, 445011, 34, 164, 117, 103, 53, 0, 7.874555138305967, None, None, None, None, 444600
