Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90044, 90867, 3, 216, 215, 213, 2, 0, 0.24387254901960784, 18600, 37200, 54000, 72000, 90600
600-1200, 91960, 93230, 4, 168, 167, 164, 4, 0, 0.1750788643533123, 21000, 38400, 57000, 73200, 93000
1200-1800, 92705, 96225, 6, 129, 126, 123, 8, 0, 0.5569907092680716, 22800, 42000, 58800, 82200, 96000
1800-2400, 94879, 108064, 9, 118, 112, 104, 8, 0, 0.9605376935775489, 35400, 46800, 67200, 85800, 108000
2400-3000, 102125, 113684, 10, 117, 111, 107, 17, 0, 2.3403319084737237, 35400, 58200, None, 88200, 113400
3000-3600, 121637, 163815, 13, 146, 134, 114, 16, 0, 2.409159902329572, None, 75000, None, None, 162600
3600-4200, 115889, 140553, 12, 113, 97, 93, 25, 0, 3.68406381590653, None, 87600, 99600, None, 140400
4200-4800, 118987, 184254, 11, 136, 116, 83, 33, 0, 4.059708958617554, None, None, None, None, 184200
4800-5400, 159710, 213183, 15, 153, 125, 118, 44, 0, 7.276449984547234, None, None, None, None, 213000
5400-6000, 178943, 239086, 16, 149, 122, 109, 62, 0, 6.580813985858248, None, 197400, None, None, 238800
6000-6600, 183603, 361961, 17, 226, 169, 113, 65, 0, 8.137237921604376, 109200, None, None, None, 361200
6600-7200, 190146, 325903, 17, 201, 144, 118, 67, 0, 14.214673534734791, None, 178800, None, None, 325200
7200-7800, 283847, 475815, 16, 304, 236, 176, 101, 0, 23.440082787167988, 202200, None, None, None, 475800
7800-8400, 292807, 631318, 16, 377, 258, 176, 96, 0, 18.94807009372999, None, None, None, None, 630600
