Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90013, 90886, 3, 164, 163, 162, 1, 0, 0.017857142857142856, 18600, 37200, 55800, 72600, 90600
600-1200, 91027, 92085, 4, 135, 134, 133, 2, 0, 0.028600612870275793, 19200, 39000, 55200, 73200, 91800
1200-1800, 94387, 97398, 5, 87, 83, 81, 3, 0, 0.15148835838491012, 24600, 43800, 64800, 76200, 97200
1800-2400, 98059, 107137, 8, 72, 68, 64, 4, 0, 0.502317542619216, 30000, 47400, 70200, 82200, 106800
2400-3000, 103828, 120708, 11, 77, 69, 64, 5, 0, 0.8425865832792495, None, 59400, None, 92400, 120600
3000-3600, 110570, 168524, 11, 92, 85, 59, 8, 0, 1.2855376204113511, 45600, None, 81600, 98400, 168000
3600-4200, 118897, 159338, 13, 81, 65, 59, 11, 0, 1.3705505897286718, None, None, None, None, 159000
4200-4800, 127333, 168346, 18, 78, 64, 60, 14, 0, 1.7863900660293683, None, None, None, 117000, 168000
4800-5400, 134584, 228386, 17, 97, 79, 55, 17, 0, 2.907662547866251, None, None, 126600, None, 228000
5400-6000, 156835, 243042, 17, 101, 76, 67, 19, 0, 2.9839892954367184, 130800, None, None, None, 243000
6000-6600, 158729, 329205, 21, 119, 94, 56, 38, 0, 5.171391806068656, None, None, None, None, 328800
6600-7200, 217521, 501847, 19, 172, 133, 79, 36, 0, 5.8817574247637125, None, None, None, None, 502200
7200-7800, 202391, 311169, 16, 108, 74, 68, 40, 0, 5.495106976744186, None, None, 264000, 288000, 310800
7800-8400, 294741, 538701, 23, 169, 116, 96, 28, 0, 3.3912020818736863, None, None, 243000, None, 538200
