Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90108, 90635, 1, 194, None, 192, 2, 0, 0.030710172744721688, 19200, 36600, 55800, 72000, 90600
600-1200, 91072, 91863, 2, 138, 136, 135, 2, 0, 0.010230179028132993, 20400, 37800, 55800, 73800, 91800
1200-1800, 94291, 99830, 7, 112, 109, 105, 4, 0, 0.29630596527868425, 24000, 40800, 58200, 76200, 99600
1800-2400, 97414, 108193, 7, 92, 86, 82, 6, 0, 0.754688221709007, 28800, None, None, 85200, 108000
2400-3000, 102953, 139250, 17, 101, 91, 75, 9, 0, 1.0437081873208027, 39000, None, 78000, None, 138600
3000-3600, 107311, 141559, 24, 88, 75, 65, 12, 0, 1.5355608114860588, None, 75000, None, 111600, 140400
3600-4200, 113907, 177279, 17, 105, 91, 69, 17, 0, 2.060881032371503, None, None, None, None, 177000
4200-4800, 127367, 194141, 15, 106, 81, 68, 27, 0, 3.026661723068626, None, None, None, None, 193800
4800-5400, 149160, 225714, 20, 114, 90, 75, 20, 0, 3.2796231724475438, None, None, None, 144600, 225600
5400-6000, 170743, 228034, 21, 111, 84, 82, 35, 0, 5.069200311956326, None, None, None, None, 228000
6000-6600, 169829, 240780, 20, 108, 86, 77, 40, 0, 7.441634970804093, None, None, None, None, 240600
6600-7200, 243802, 465626, 23, 201, 166, 103, 42, 0, 5.069724514053979, None, None, None, None, 465600
7200-7800, 203058, 319066, 26, 141, 97, 93, 41, 0, 4.478467744716064, 116400, None, None, None, 318600
7800-8400, 244302, 403282, 32, 166, 120, 102, 87, 0, 8.313481657700521, 301800, None, None, None, 402600
