Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90722, 91323, 1, 157, None, 155, 1, 0, 0.00975609756097561, 18600, 36600, 54600, 73200, 91200
600-1200, 90972, 91428, 3, 119, 118, 117, 2, 0, 0.05292792792792793, 20400, 38400, 55800, 73800, 91200
1200-1800, 94350, 98111, 8, 82, 78, 77, 3, 0, 0.15000480169019495, 25800, 40800, 59400, 88800, 97800
1800-2400, 97983, 117289, 8, 77, 73, 65, 4, 0, 0.4835020622422197, 29400, 52800, 64200, None, 117000
2400-3000, 106319, 135942, 11, 73, 67, 56, 6, 0, 0.8567699986263108, 46800, 51600, 75000, None, 135600
3000-3600, 112810, 151990, 15, 72, 65, 52, 9, 0, 1.3746342652795838, None, None, 90000, None, 151800
3600-4200, 115993, 175278, 12, 72, 60, 47, 9, 0, 1.4149547754100873, None, None, None, None, 175800
4200-4800, 127425, 187509, 18, 74, 63, 51, 15, 0, 1.486897496981366, None, None, 106200, None, 187200
4800-5400, 134404, 188483, 19, 70, 54, 48, 17, 0, 2.950328183668205, None, None, None, None, 188400
5400-6000, 144622, 257624, 17, 86, 64, 48, 18, 0, 3.36147305493485, None, None, None, 179400, 257400
6000-6600, 152487, 276808, 19, 88, 66, 48, 20, 0, 4.462068721719457, 137400, None, None, None, 276600
6600-7200, 218033, 369388, 23, 112, 73, 63, 32, 0, 3.3065737324039906, None, None, 186600, None, 369000
7200-7800, 228041, 447294, 27, 126, 90, 63, 36, 0, 4.074828579946338, None, None, None, 443400, 447000
7800-8400, 263182, 541908, 22, 148, 105, 72, 42, 0, 4.8675194514044575, None, None, None, 304800, 541800
