Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 91362, 91595, 1, 183, None, 181, 1, 0, 0.09931506849315068, 18600, 37200, 54600, 72000, 91200
600-1200, 92081, 94121, 7, 142, 141, 138, 2, 0, 0.09917877447883765, 19800, 39600, 57600, 73800, 93600
1200-1800, 93273, 96751, 8, 103, 102, 99, 5, 0, 0.2891606448026682, 24000, 46200, 62400, None, 96600
1800-2400, 97200, 105882, 11, 96, 92, 86, 6, 0, 0.6568456531845653, None, 50400, None, 81000, 105600
2400-3000, 102129, 120773, 12, 87, 76, 74, 10, 0, 1.2744126441691586, 41400, None, 71400, 92400, 120600
3000-3600, 105784, 136794, 18, 86, 74, 66, 11, 0, 1.5574324324324325, None, 66600, None, 102000, 136200
3600-4200, 112970, 138632, 16, 83, 70, 67, 13, 0, 1.5476281196418364, None, 67800, None, 120600, 138000
4200-4800, 130027, 175934, 16, 103, 84, 76, 19, 0, 2.7846530264884226, 97200, 102000, None, None, 175200
4800-5400, 157907, 220284, 18, 118, 99, 86, 23, 0, 3.3926694692590647, None, 114600, 133800, None, 220200
5400-6000, 165367, 264934, 19, 130, 91, 82, 41, 0, 6.313954755074621, None, None, None, None, 264600
6000-6600, 170885, 268704, 17, 125, 82, 78, 39, 0, 4.688418774718305, None, None, None, None, 268200
6600-7200, 211873, 298222, 25, 138, 110, 102, 54, 0, 6.446303994216519, None, None, None, None, 297600
7200-7800, 233070, 374728, 21, 168, 123, 101, 46, 0, 7.109303814149629, None, None, None, None, 374400
7800-8400, 319677, 494954, 25, 220, 170, 145, 45, 0, 7.09578644333944, None, None, None, None, 494400
