Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90895, 91300, 3, 160, 159, 158, 1, 0, 0.0072992700729927005, 18600, 36600, 55200, 72600, 91200
600-1200, 90633, 91979, 3, 131, 129, 128, 1, 0, 0.009615384615384616, 19200, 37800, 55200, 73800, 91800
1200-1800, 92404, 94911, 5, 75, 74, 72, 2, 0, 0.07654881608822575, 25800, 45600, 59400, 78000, 94800
1800-2400, 99328, 109290, 9, 69, 66, 62, 5, 0, 0.43292092894664086, 28800, 49800, None, 82200, 109200
2400-3000, 102617, 115428, 14, 55, 52, 47, 4, 0, 0.47344418718866205, 32400, 52800, None, 94200, 115200
3000-3600, 109016, 149549, 11, 66, 53, 48, 10, 0, 0.9853257816888223, 46200, 68400, None, None, 149400
3600-4200, 115315, 143458, 15, 56, 44, 42, 8, 0, 1.1353885608954666, 69600, None, 103200, 118800, 143400
4200-4800, 125250, 250324, 18, 85, 69, 44, 13, 0, 1.4629571741169116, None, None, None, None, 250200
4800-5400, 140459, 183068, 18, 61, 50, 49, 13, 0, 1.8887357026143792, None, None, None, None, 183000
5400-6000, 143085, 263176, 19, 79, 64, 44, 22, 0, 3.6841483635042134, None, None, None, None, 262800
6000-6600, 153037, 325991, 18, 92, 71, 44, 18, 0, 2.842715429664157, None, None, None, 183600, 326400
6600-7200, 165796, 320155, 32, 84, 62, 41, 16, 0, 2.4489436997319034, 145800, 179400, None, None, 319800
7200-7800, 190257, 337471, 28, 86, 52, 46, 27, 0, 3.047047476154753, None, None, None, None, 337200
7800-8400, 248714, 414253, 30, 103, 71, 68, 27, 0, 3.221458080795587, 133800, 209400, None, None, 414000
