Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90160, 90160, 1, 168, None, 167, 1, 0, 0.055944055944055944, 19200, 36600, 55800, 73200, 90000
600-1200, 91995, 92448, 2, 138, 137, 136, 2, 0, 0.0368, 19800, 38400, 55800, 73800, 92400
1200-1800, 94365, 97941, 7, 101, 99, 97, 3, 0, 0.15866073448457885, 25800, 41400, 60000, 79200, 97800
1800-2400, 99192, 109384, 14, 90, 84, 80, 5, 0, 0.525020190599257, 36000, None, 67800, 83400, 108600
2400-3000, 104762, 116837, 19, 81, 75, 70, 5, 0, 0.7587553746676732, 38400, 51000, None, None, 116400
3000-3600, 114545, 147664, 8, 87, 79, 65, 10, 0, 1.0898755898755899, 46200, 69000, None, None, 147600
3600-4200, 117745, 162178, 20, 85, 71, 58, 14, 0, 1.599141749723145, 58200, None, 103800, None, 162000
4200-4800, 130990, 213328, 16, 93, 77, 56, 15, 0, 1.959214263174503, None, 139200, None, None, 213000
4800-5400, 129691, 245580, 29, 103, 74, 52, 22, 0, 3.183249283100959, None, None, None, 150000, 245400
5400-6000, 149704, 230842, 25, 90, 64, 59, 20, 0, 2.4071466291145924, None, None, None, None, 230400
6000-6600, 171181, 531213, 27, 199, 173, 60, 31, 0, 2.5599913036388835, 129600, 174600, None, None, 530400
6600-7200, 219224, 438808, 24, 167, 137, 81, 39, 0, 4.325075255068063, 113400, None, None, None, 438600
7200-7800, 203419, 457963, 30, 162, 118, 73, 29, 0, 3.223137222543114, None, None, None, None, 457800
7800-8400, 254183, 377442, 31, 122, 86, 84, 56, 0, 6.379377800214551, None, None, None, None, 376800
