Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90645, 91787, 6, 168, 167, 166, 1, 0, 0.03333333333333333, 18000, 36000, 55200, 73200, 91200
600-1200, 91531, 92542, 6, 139, 138, 137, 2, 0, 0.01774622892635315, 20400, 37800, 55200, 74400, 91800
1200-1800, 94402, 97946, 6, 99, 97, 93, 4, 0, 0.2929449551445343, 22800, 41400, 60600, 79800, 97800
1800-2400, 98121, 104546, 12, 78, 76, 74, 5, 0, 0.39011806412812966, None, 51000, 70200, 87000, 104400
2400-3000, 100252, 112261, 11, 69, 63, 60, 5, 0, 0.6536812836702774, 34200, 55800, 76200, 87600, 112200
3000-3600, 103365, 124794, 17, 70, 62, 58, 7, 0, 0.8068289056021047, None, 61800, 88200, 101400, 124200
3600-4200, 118302, 209006, 25, 100, 85, 54, 13, 0, 1.720325984936932, None, 89400, None, None, 208800
4200-4800, 124267, 168825, 21, 74, 58, 52, 11, 0, 1.498223000212179, None, 86400, None, None, 168600
4800-5400, 137040, 183584, 23, 74, 58, 55, 15, 0, 2.453176142562735, 85200, None, None, None, 183000
5400-6000, 144234, 383441, 29, 149, 126, 58, 19, 0, 2.6641180890087064, 82800, 118800, None, None, 383400
6000-6600, 160992, 370927, 26, 129, 78, 57, 25, 0, 3.6611070982992975, None, None, None, None, 370800
6600-7200, 233234, 345288, 25, 120, 89, 83, 32, 0, 4.920305580159433, None, None, None, None, 345000
7200-7800, 197489, 312209, 33, 110, 77, 71, 30, 0, 4.571838569013082, 208200, None, None, 223800, 312000
7800-8400, 261052, 575893, 38, 170, 128, 82, 35, 0, 4.761313115274691, 219600, None, None, None, 575400
