Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90056, 90056, 1, 183, None, 182, 1, 0, 0.03978779840848806, 19200, 36600, 55200, 72600, 90000
600-1200, 91803, 92863, 4, 140, 139, 137, 2, 0, 0.12451790633608815, 19200, 37800, 56400, 75000, 92400
1200-1800, 93993, 96489, 7, 100, 97, 96, 4, 0, 0.09285640012477904, 29400, 44400, 60600, 76800, 96000
1800-2400, 96824, 101675, 9, 79, 75, 73, 4, 0, 0.4635204081632653, 29400, 45600, 74400, 88200, 101400
2400-3000, 102031, 118289, 11, 84, 77, 71, 10, 0, 1.194639175257732, 45600, None, None, None, 117600
3000-3600, 107577, 130375, 11, 79, 65, 63, 12, 0, 1.443679466250266, None, None, None, 106800, 130200
3600-4200, 113129, 137543, 17, 76, 64, 62, 15, 0, 2.447038926320958, None, None, 109200, 118200, 137400
4200-4800, 129882, 185476, 24, 92, 77, 64, 14, 0, 2.2678006785607128, 55800, None, None, None, 184800
4800-5400, 139540, 318480, 21, 146, 131, 66, 20, 0, 3.320839636913767, None, None, None, 127200, 318000
5400-6000, 143705, 208367, 20, 91, 69, 64, 25, 0, 3.5452313227821945, None, None, 139800, None, 207600
6000-6600, 175327, 268569, 26, 117, 80, 75, 39, 0, 3.2204876700973957, None, None, None, None, 268200
6600-7200, 187931, 333712, 25, 133, 88, 72, 49, 0, 5.1337409603029265, None, None, None, None, 333600
7200-7800, 219273, 397948, 24, 152, 83, 79, 46, 0, 6.161013412816692, 115800, None, None, None, 397800
7800-8400, 237691, 383856, 26, 139, 94, 86, 46, 0, 5.847849864717057, None, None, None, None, 383400
