Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90082, 90552, 1, 189, None, 187, 2, 0, 0.10830324909747292, 18600, 36600, 55200, 72000, 90000
600-1200, 91278, 92605, 4, 157, 156, 154, 3, 0, 0.1619047619047619, 19800, 37200, 56400, 73800, 92400
1200-1800, 94397, 97955, 6, 125, 121, 119, 5, 0, 0.5098286555240198, 27000, 41400, 61800, 81000, 97200
1800-2400, 96843, 104710, 6, 104, 100, 95, 8, 0, 0.9801002582409236, 33000, 48000, None, 82200, 105000
2400-3000, 107748, 126553, 11, 110, 99, 89, 15, 0, 1.682196999761886, None, 59400, 71400, None, 126000
3000-3600, 110765, 134612, 14, 103, 92, 84, 16, 0, 2.079216062495717, None, None, 82800, 103200, 134400
3600-4200, 121512, 158770, 13, 100, 81, 74, 19, 0, 3.384188432835821, None, None, None, None, 158400
4200-4800, 128548, 210696, 15, 146, 116, 92, 34, 0, 4.010800121691512, None, None, 118200, None, 210600
4800-5400, 158252, 281492, 13, 175, 155, 92, 35, 0, 4.694954983751532, None, 114000, None, None, 281400
5400-6000, 143030, 211488, 14, 133, 98, 86, 41, 0, 7.565002129471891, None, None, 153600, None, 211200
6000-6600, 151879, 223178, 17, 142, 99, 96, 44, 0, 7.151372292755788, None, None, None, None, 222600
6600-7200, 253330, 330837, 18, 189, 153, 149, 43, 0, 10.138808910440975, 166200, None, 214800, 222000, 330000
7200-7800, 265235, 541974, 19, 284, 169, 149, 94, 0, 12.032706577335928, None, None, None, 262800, 541800
7800-8400, 237346, 445689, 15, 243, 187, 128, 81, 0, 13.291819567549258, None, None, None, 328200, 445200
