Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90039, 90756, 1, 191, None, 189, 3, 0, 0.09169054441260745, 18600, 36600, 54000, 73200, 90600
600-1200, 93077, 95387, 10, 161, 158, 155, 3, 0, 0.3207911239749156, 22200, 37200, 55800, 73200, 94800
1200-1800, 94483, 101293, 9, 132, 128, 123, 4, 0, 0.41672005124919925, 22800, 42000, 59400, 81600, 100200
1800-2400, 96708, 113124, 8, 115, 110, 98, 6, 0, 0.8136061946902655, 32400, None, 66600, None, 112800
2400-3000, 103954, 143429, 10, 114, 107, 87, 11, 0, 1.3506597361055577, None, 53400, None, 90000, 143400
3000-3600, 108098, 125830, 12, 92, 83, 79, 13, 0, 1.7673738431988826, 60600, None, None, None, 125400
3600-4200, 114553, 159348, 17, 104, 89, 75, 17, 0, 2.9435281181275528, 61800, None, None, None, 159000
4200-4800, 139932, 208945, 17, 132, 105, 85, 22, 0, 4.580058600482592, None, None, None, None, 208800
4800-5400, 150281, 222829, 22, 143, 111, 96, 35, 0, 5.06490734452314, None, None, None, None, 222600
5400-6000, 160859, 323641, 23, 176, 131, 89, 47, 0, 7.017080152671756, None, None, None, None, 323400
6000-6600, 188468, 283981, 19, 146, 119, 99, 41, 0, 6.673030088773666, None, None, None, 219600, 283800
6600-7200, 193324, 394863, 23, 213, 169, 101, 70, 0, 7.546899198707158, None, None, None, None, 394800
7200-7800, 268374, 458235, 24, 226, 160, 129, 60, 0, 9.642371663811682, 194400, None, None, 295200, 457800
7800-8400, 337711, 461615, 25, 214, 164, 160, 74, 0, 13.3695449932341, 148800, None, None, None, 461400
