Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90283, 90793, 1, 174, None, 172, 2, 0, 0.23049645390070922, 19200, 36600, 55200, 73200, 90600
600-1200, 90680, 92232, 3, 142, 141, 138, 1, 0, 0.010699588477366255, 20400, 39600, 55800, 73800, 91800
1200-1800, 94012, 98013, 13, 99, 95, 93, 2, 0, 0.17622244667577683, 23400, 42000, 61200, 78000, 97200
1800-2400, 96795, 105715, 12, 82, 78, 75, 8, 0, 0.5175030927145675, 33000, 46200, 64800, 84000, 105000
2400-3000, 103098, 118349, 21, 77, 71, 65, 7, 0, 1.0642746764535445, None, None, 74400, 97800, 117000
3000-3600, 106294, 160841, 23, 93, 80, 62, 8, 0, 1.1966731668350445, None, None, 81000, 106800, 160800
3600-4200, 116092, 144360, 20, 77, 68, 61, 12, 0, 1.6943395288738694, None, None, None, None, 144000
4200-4800, 122281, 163485, 22, 80, 62, 59, 12, 0, 1.7226426233027425, None, None, None, None, 163200
4800-5400, 130949, 216076, 21, 98, 78, 61, 22, 0, 2.8315065669908006, 84600, 116400, 121200, None, 216000
5400-6000, 149302, 273940, 25, 119, 89, 64, 20, 0, 2.5821752197591126, 97800, 125400, None, 178200, 273600
6000-6600, 193902, 265020, 33, 108, 83, 78, 28, 0, 4.742103691909643, 134400, None, None, 199800, 264600
6600-7200, 173137, 285319, 34, 106, 70, 63, 33, 0, 3.95424177246512, None, None, None, None, 285000
7200-7800, 183110, 291013, 33, 111, 78, 75, 42, 0, 4.7907597838201585, None, None, None, None, 291000
7800-8400, 211374, 427777, 33, 144, 94, 71, 38, 0, 5.302321495244998, None, None, None, 291000, 427200
