Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90911, 92171, 3, 165, 164, 162, 1, 0, 0.15846994535519127, 0: 308, 1: 58
600-1200, 90825, 92581, 3, 121, 119, 118, 2, 0, 0.046218487394957986, 0: 682, 1: 31, 2: 1
1200-1800, 93898, 96758, 6, 96, 94, 93, 4, 0, 0.17632884479092842, 0: 5916, 1: 1047, 2: 81, 3: 9, 4: 2
1800-2400, 101007, 116681, 5, 93, 87, 78, 6, 0, 0.668693009118541, 0: 6022, 1: 2534, 2: 962, 3: 407, 4: 233, 5: 37, 6: 4
2400-3000, 103366, 117730, 11, 83, 73, 71, 10, 0, 1.1261824839792494, 0: 5951, 1: 3312, 2: 1830, 3: 880, 4: 809, 5: 155, 6: 109, 7: 37, 8: 5, 9: 14, 10: 6
3000-3600, 107633, 125244, 12, 73, 62, 59, 11, 0, 1.6296992481203008, 0: 6741, 1: 3017, 2: 2442, 3: 1751, 4: 836, 5: 779, 6: 492, 7: 150, 8: 156, 9: 78, 10: 18, 11: 32
3600-4200, 114620, 192775, 14, 102, 92, 62, 19, 0, 3.5373366118804195, 0: 4562, 1: 1974, 2: 1278, 3: 1455, 4: 1023, 5: 1047, 6: 642, 7: 1068, 8: 572, 9: 260, 10: 745, 11: 116, 12: 172, 13: 373, 14: 81, 15: 12, 16: 29, 17: 33, 18: 6, 19: 6
4200-4800, 132436, 247486, 10, 119, 107, 65, 24, 0, 4.2220125786163525, 0: 6377, 1: 1548, 2: 3069, 3: 974, 4: 820, 5: 749, 6: 303, 7: 760, 8: 611, 9: 885, 10: 317, 11: 434, 12: 199, 13: 288, 14: 605, 15: 270, 16: 87, 17: 146, 18: 98, 19: 326, 20: 131, 21: 9, 22: 21, 23: 39, 24: 14
4800-5400, 148470, 214977, 18, 114, 84, 79, 25, 0, 4.250554323725056, 0: 4560, 1: 1795, 2: 1435, 3: 1335, 4: 1006, 5: 340, 6: 110, 7: 757, 8: 588, 9: 193, 10: 304, 11: 159, 12: 398, 13: 156, 14: 378, 15: 224, 16: 85, 17: 64, 18: 38, 19: 60, 20: 4, 21: 109, 22: 204, 23: 12, 24: 50, 25: 68
5400-6000, 171325, 270916, 15, 127, 102, 80, 25, 0, 5.635489043292357, 0: 4725, 1: 1948, 2: 941, 3: 926, 4: 781, 5: 1381, 6: 1910, 7: 1194, 8: 270, 9: 416, 10: 602, 11: 299, 12: 248, 13: 924, 14: 203, 15: 443, 16: 387, 17: 129, 18: 117, 19: 93, 20: 242, 21: 163, 22: 37, 23: 12, 24: 289, 25: 30
6000-6600, 156783, 260887, 17, 113, 87, 62, 43, 0, 7.840396486229819, 0: 2249, 1: 2391, 2: 729, 3: 781, 4: 1150, 5: 1580, 6: 729, 7: 1823, 8: 365, 9: 256, 10: 167, 11: 160, 12: 113, 13: 407, 14: 451, 15: 547, 16: 280, 17: 364, 18: 160, 19: 207, 20: 120, 21: 301, 22: 193, 23: 65, 24: 553, 25: 86, 26: 42, 27: 212, 28: 2, 29: 111, 30: 8, 31: 65, 32: 12, 33: 9, 34: 29, 35: 1, 36: 47, 39: 37, 41: 36, 42: 6, 43: 4
6600-7200, 188023, 326864, 14, 137, 100, 79, 46, 0, 7.679774290248633, 0: 2422, 1: 1873, 2: 1637, 3: 1767, 4: 1422, 5: 298, 6: 526, 7: 990, 8: 751, 9: 465, 10: 582, 11: 322, 12: 180, 13: 460, 14: 122, 15: 203, 16: 316, 17: 97, 18: 271, 19: 163, 20: 356, 21: 21, 22: 218, 23: 142, 24: 135, 25: 349, 26: 197, 27: 106, 28: 38, 29: 40, 30: 192, 31: 147, 32: 4, 33: 21, 34: 1, 35: 43, 36: 4, 37: 36, 38: 3, 40: 83, 41: 1, 42: 3, 43: 1, 44: 3, 45: 1, 46: 1
7200-7800, 207225, 375960, 18, 154, 116, 87, 35, 0, 6.408662372818071, 0: 2706, 1: 4763, 2: 1427, 3: 2128, 4: 1924, 5: 804, 6: 493, 7: 211, 8: 219, 9: 650, 10: 1030, 11: 474, 12: 129, 13: 1299, 14: 631, 15: 104, 16: 15, 17: 117, 18: 51, 19: 78, 20: 195, 21: 190, 22: 44, 23: 1374, 24: 84, 25: 55, 26: 59, 27: 3, 28: 9, 29: 68, 30: 29, 31: 6, 32: 51, 33: 1, 35: 5
7800-8400, 266520, 593611, 16, 218, 181, 106, 64, 0, 8.759445616149442, 0: 3942, 1: 2274, 2: 1437, 3: 382, 4: 773, 5: 1142, 6: 1594, 7: 202, 8: 214, 9: 297, 10: 329, 11: 63, 12: 220, 13: 182, 14: 47, 15: 519, 16: 79, 17: 80, 18: 73, 19: 106, 20: 117, 21: 34, 22: 51, 23: 278, 24: 183, 25: 71, 26: 32, 27: 4, 28: 97, 29: 16, 30: 81, 31: 279, 32: 64, 33: 73, 34: 294, 35: 11, 36: 16, 37: 65, 38: 79, 39: 25, 40: 29, 41: 148, 42: 25, 43: 23, 44: 7, 45: 22, 46: 180, 47: 2, 48: 7, 50: 8, 51: 20, 52: 71, 53: 2, 55: 2, 56: 26, 57: 4, 58: 113, 59: 3, 60: 2, 61: 69, 62: 1, 63: 5, 64: 1
