Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90087, 90876, 3, 201, 200, 199, 2, 0, 0.2860652860652861
600-1200, 92029, 92472, 2, 160, 159, 157, 3, 0, 0.3338926174496644
1200-1800, 98336, 104715, 7, 117, 115, 109, 5, 0, 0.4305054151624549
1800-2400, 111165, 122923, 11, 126, 121, 110, 13, 0, 0.6988335100742312
2400-3000, 112368, 131162, 11, 111, 106, 93, 16, 0, 1.121212121212121
3000-3600, 135224, 152628, 14, 121, 111, 106, 16, 0, 1.2661870503597121
3600-4200, 133919, 159136, 11, 110, 97, 94, 12, 0, 1.1376936316695352
4200-4800, 168347, 262521, 12, 182, 158, 111, 68, 0, 10.890151515151516
4800-5400, 186279, 244039, 14, 156, 124, 118, 31, 0, 3.4330708661417324
5400-6000, 193993, 280619, 11, 175, 145, 122, 51, 0, 7.392568659127625
6000-6600, 268360, 353212, 15, 204, 176, 153, 48, 0, 5.540983606557377
6600-7200, 356556, 585531, 17, 325, 254, 206, 135, 0, 26.992685475444095
7200-7800, 347699, 568999, 17, 298, 239, 186, 104, 0, 18.103810775295663
7800-8400, 420277, 671442, 18, 339, 259, 213, 122, 0, 23.533908754623923
