Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90797, 90972, 1, 180, None, 178, 1, 0, 0.16206261510128914
600-1200, 92525, 93065, 2, 164, 163, 161, 2, 0, 0.2268041237113402
1200-1800, 106990, 129558, 5, 140, 135, 114, 24, 0, 2.1006884681583475
1800-2400, 102749, 114208, 6, 101, 92, 89, 9, 0, 0.6161335187760779
2400-3000, 114130, 130709, 12, 94, 84, 79, 12, 0, 0.7567796610169492
3000-3600, 116527, 133801, 15, 93, 82, 78, 11, 0, 0.8942115768463074
3600-4200, 130844, 210810, 17, 129, 115, 78, 48, 0, 8.315132605304212
4200-4800, 161445, 199681, 20, 106, 94, 87, 23, 0, 2.550753768844221
4800-5400, 195216, 261112, 20, 131, 108, 97, 31, 0, 4.394239423942394
5400-6000, 217956, 319370, 19, 157, 128, 107, 47, 0, 7.829248366013072
6000-6600, 220636, 333494, 20, 163, 114, 109, 47, 0, 7.771945701357466
6600-7200, 246157, 415160, 21, 185, 139, 108, 73, 0, 10.970281124497992
7200-7800, 290033, 697374, 27, 286, 231, 124, 159, 0, 40.562283737024224
7800-8400, 295955, 426908, 23, 174, 119, 115, 56, 0, 7.077464788732394
