Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90024, 90705, 1, 183, None, 181, 2, 0, 0.19070735090152566
600-1200, 92362, 93309, 3, 154, 153, 151, 2, 0, 0.1985170205594877
1200-1800, 106541, 116500, 6, 123, 117, 114, 11, 0, 0.8286140089418778
1800-2400, 101146, 113026, 11, 113, 109, 100, 10, 0, 0.6860068259385665
2400-3000, 108589, 125490, 10, 106, 96, 89, 15, 0, 0.9927477840451249
3000-3600, 133938, 174163, 15, 125, 112, 91, 33, 0, 4.526792452830189
3600-4200, 121468, 190373, 19, 127, 109, 79, 45, 0, 6.400508044030483
4200-4800, 164746, 228518, 16, 134, 117, 97, 37, 0, 5.716738197424893
4800-5400, 167555, 486064, 20, 269, 249, 92, 174, 0, 51.509272467902996
5400-6000, 173571, 281172, 21, 159, 132, 97, 57, 0, 7.505244755244755
6000-6600, 216183, 335744, 23, 179, 142, 116, 57, 0, 9.174502712477397
6600-7200, 274363, 627153, 21, 307, 264, 139, 164, 0, 43.59766454352442
7200-7800, 314621, 641728, 24, 318, 269, 158, 153, 0, 35.63801452784504
7800-8400, 334981, 495123, 24, 227, 161, 151, 70, 0, 10.30464135021097
