Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91279, 91279, 1, 173, None, 172, 1, 0, 0.12613611172688982
600-1200, 91214, 92365, 4, 134, 133, 131, 2, 0, 0.12395992528442859
1200-1800, 97117, 101885, 8, 94, 92, 88, 5, 0, 0.24575627058525462
1800-2400, 98002, 115411, 9, 90, 85, 72, 15, 0, 1.0488188976377952
2400-3000, 107414, 122636, 12, 72, 66, 62, 8, 0, 0.6214915797914996
3000-3600, 113448, 133882, 15, 73, 64, 60, 10, 0, 0.8792096991468343
3600-4200, 122345, 166111, 21, 80, 70, 59, 17, 0, 2.063901819720694
4200-4800, 138070, 199738, 25, 91, 70, 63, 26, 0, 3.8236272878535775
4800-5400, 142262, 210173, 19, 88, 73, 61, 25, 0, 3.5674725274725274
5400-6000, 159007, 235286, 23, 86, 65, 59, 23, 0, 3.202320185614849
6000-6600, 177577, 319296, 29, 116, 88, 67, 46, 0, 8.733384262796028
6600-7200, 215786, 321314, 23, 107, 75, 70, 32, 0, 4.260285474391268
7200-7800, 225158, 475296, 31, 147, 110, 67, 76, 0, 15.697176241480038
7800-8400, 259780, 549586, 35, 171, 135, 82, 86, 0, 18.625148632580263
