Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90341, 90428, 1, 179, None, 177, 2, 0, 0.1694984368628517
600-1200, 91048, 91979, 5, 138, 137, 136, 1, 0, 0.17237213048731373
1200-1800, 94703, 99789, 10, 98, 95, 91, 3, 0, 0.2199743095696853
1800-2400, 99698, 114687, 9, 92, 86, 79, 11, 0, 0.7012480499219969
2400-3000, 112344, 144196, 14, 93, 78, 72, 18, 0, 1.8917378917378918
3000-3600, 112635, 156379, 13, 90, 81, 64, 23, 0, 2.8870447210696173
3600-4200, 125774, 161851, 16, 85, 71, 67, 15, 0, 1.4770844837106571
4200-4800, 131656, 209076, 18, 99, 78, 61, 34, 0, 5.110526315789474
4800-5400, 144176, 251200, 23, 112, 92, 62, 47, 0, 7.521194605009634
5400-6000, 171042, 270158, 26, 113, 95, 71, 39, 0, 6.062594649167087
6000-6600, 211803, 362099, 30, 138, 93, 75, 59, 0, 12.04427882507672
6600-7200, 229918, 371720, 28, 135, 104, 83, 50, 0, 8.026523964634714
7200-7800, 233769, 471003, 27, 156, 112, 81, 72, 0, 13.608179959100205
7800-8400, 287422, 564056, 32, 190, 147, 88, 99, 0, 18.899741028486865
