Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90038, 90951, 3, 169, 168, 167, 2, 0, 0.11027509992946155
600-1200, 91966, 93958, 3, 132, 131, 128, 2, 0, 0.12551867219917012
1200-1800, 95549, 99792, 7, 88, 86, 84, 3, 0, 0.2202797202797203
1800-2400, 120250, 128053, 11, 89, 86, 82, 10, 0, 0.678237650200267
2400-3000, 113599, 132479, 11, 75, 65, 62, 10, 0, 0.6523972602739726
3000-3600, 171605, 189926, 11, 100, 93, 88, 30, 0, 4.595808383233533
3600-4200, 133894, 201838, 18, 94, 80, 60, 32, 0, 4.710664335664336
4200-4800, 173067, 228143, 15, 94, 75, 72, 28, 0, 3.2580645161290325
4800-5400, 177631, 228639, 15, 88, 72, 68, 18, 0, 1.7642706131078225
5400-6000, 195650, 267377, 19, 103, 84, 79, 21, 0, 2.6279826464208242
6000-6600, 249161, 448977, 19, 160, 118, 88, 70, 0, 16.03205574912892
6600-7200, 244518, 377016, 21, 129, 88, 85, 41, 0, 5.227533460803059
7200-7800, 257280, 519513, 23, 170, 133, 85, 81, 0, 15.157088122605364
7800-8400, 361328, 510175, 23, 161, 125, 118, 47, 0, 6.232340425531915
