Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90742, 91596, 3, 158, 157, 156, 1, 0, 0.032586558044806514
600-1200, 92554, 93798, 2, 121, 120, 118, 1, 0, 0.046929605591612585
1200-1800, 93301, 96891, 4, 79, 78, 75, 2, 0, 0.10034207525655645
1800-2400, 99063, 113045, 9, 69, 64, 57, 9, 0, 0.4372797744890768
2400-3000, 107433, 123155, 13, 60, 55, 52, 5, 0, 0.33446663833404167
3000-3600, 120285, 163375, 13, 70, 61, 50, 18, 0, 2.1849206349206347
3600-4200, 116687, 152130, 16, 56, 48, 43, 11, 0, 1.088047220855878
4200-4800, 136349, 256894, 16, 90, 81, 48, 38, 0, 7.954765193370166
4800-5400, 145993, 293087, 20, 95, 76, 49, 43, 0, 9.324583185526782
5400-6000, 184992, 286524, 25, 83, 65, 52, 28, 0, 4.421661843737081
6000-6600, 237786, 370418, 27, 105, 77, 70, 47, 0, 7.531446540880503
6600-7200, 201070, 324202, 24, 87, 65, 50, 32, 0, 4.770506912442396
7200-7800, 237189, 375841, 22, 101, 73, 59, 38, 0, 5.626141078838175
7800-8400, 302539, 557919, 28, 134, 92, 72, 59, 0, 12.10487012987013
