Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90027, 90027, 1, 182, None, 181, 1, 0, 0.19333902647309992
600-1200, 92474, 92808, 3, 150, 149, 148, 2, 0, 0.2145748987854251
1200-1800, 97943, 112192, 12, 116, 111, 98, 15, 0, 0.9940320775829914
1800-2400, 98654, 112684, 13, 101, 95, 85, 12, 0, 0.7944526993561168
2400-3000, 109966, 142596, 17, 107, 100, 83, 22, 0, 2.366683857658587
3000-3600, 110616, 145971, 19, 93, 78, 69, 21, 0, 2.013959390862944
3600-4200, 145395, 176261, 22, 109, 96, 86, 29, 0, 3.284764207980653
4200-4800, 128712, 200399, 21, 108, 88, 67, 36, 0, 5.2343532684283725
4800-5400, 162236, 268087, 23, 140, 119, 88, 48, 0, 8.877243775332948
5400-6000, 177765, 304524, 28, 146, 119, 87, 55, 0, 10.269140164899882
6000-6600, 205709, 264520, 29, 126, 98, 94, 27, 0, 2.59204368174727
6600-7200, 259951, 365177, 24, 166, 126, 115, 47, 0, 6.964580873671783
7200-7800, 258019, 444124, 33, 189, 147, 113, 72, 0, 12.846069868995633
7800-8400, 337201, 493490, 28, 201, 152, 138, 64, 0, 10.046666666666667
