Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 91443, 91994, 3, 183, 182, 181, 2, 0, 0.17454194792671165
600-1200, 91961, 93866, 8, 136, 134, 133, 2, 0, 0.2056842451125349
1200-1800, 94546, 98856, 11, 96, 93, 91, 2, 0, 0.19441571871768357
1800-2400, 99194, 105861, 15, 88, 83, 81, 4, 0, 0.3301791145657317
2400-3000, 103718, 129369, 22, 85, 76, 69, 13, 0, 1.4068498306360557
3000-3600, 112061, 139130, 15, 80, 70, 65, 12, 0, 1.2380542402066295
3600-4200, 116039, 156427, 20, 78, 63, 59, 16, 0, 1.755575785161584
4200-4800, 162038, 318992, 22, 154, 138, 78, 75, 0, 19.07197068830149
4800-5400, 137462, 235364, 31, 104, 84, 61, 36, 0, 5.886132574217162
5400-6000, 149168, 232177, 30, 102, 76, 64, 32, 0, 4.938794293603314
6000-6600, 193503, 560767, 35, 218, 192, 87, 127, 0, 31.907574094401756
6600-7200, 253259, 372262, 34, 131, 94, 86, 41, 0, 6.529563932002956
7200-7800, 223470, 411177, 31, 153, 109, 80, 69, 0, 13.829496402877698
7800-8400, 268872, 901119, 28, 291, 253, 89, 200, 0, 58.49705379205474
