Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks
0-600, 90673, 90673, 1, 159, None, 158, 1, 0, 0.045200054622422506
600-1200, 91911, 92796, 3, 118, 117, 116, 1, 0, 0.030583674348481586
1200-1800, 108915, 137690, 6, 114, 111, 90, 21, 0, 2.2358490566037736
1800-2400, 100252, 106331, 6, 69, 64, 62, 4, 0, 0.19419642857142858
2400-3000, 107487, 173709, 10, 87, 82, 54, 29, 0, 3.7724486116119724
3000-3600, 115337, 154431, 14, 74, 66, 53, 17, 0, 1.8019250253292807
3600-4200, 129825, 163466, 16, 66, 55, 51, 12, 0, 1.2138570649208946
4200-4800, 154379, 204352, 14, 81, 70, 60, 17, 0, 2.0560796645702304
4800-5400, 201235, 252258, 21, 84, 71, 66, 30, 0, 4.814516129032258
5400-6000, 231764, 363154, 19, 120, 100, 76, 41, 0, 7.587961165048544
6000-6600, 172332, 236750, 16, 83, 64, 62, 18, 0, 2.0993243243243245
6600-7200, 241498, 495312, 26, 135, 107, 65, 68, 0, 14.600809418690213
7200-7800, 279089, 631891, 29, 165, 136, 72, 89, 0, 24.09330695680844
7800-8400, 277989, 870767, 32, 216, 188, 68, 146, 0, 45.20816653322658
