Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90611, 91557, 3, 175, 174, 173, 1, 0, 0.1601423487544484, 18600, 37200, 55200, 72000, 91200
600-1200, 91312, 92489, 6, 136, 135, 134, 2, 0, 0.13532763532763534, 20400, 37200, 55800, 73200, 91800
1200-1800, 94996, 97644, 9, 96, 92, 91, 3, 0, 0.18026141049835745, 28800, 45000, 64800, 79800, 97200
1800-2400, 97985, 105282, 14, 83, 80, 78, 5, 0, 0.553724789181207, 38400, 47400, 65400, 84000, 104400
2400-3000, 103443, 146578, 14, 96, 86, 68, 7, 0, 0.8116937452060525, 36000, None, None, 87000, 146400
3000-3600, 103441, 130745, 17, 76, 62, 61, 9, 0, 1.3824024616813748, 54600, 68400, 78600, None, 130200
3600-4200, 120476, 171595, 24, 84, 74, 61, 10, 0, 1.1948357534288987, None, 74400, None, 117000, 171000
4200-4800, 127347, 159729, 23, 74, 62, 60, 19, 0, 2.0793200312762443, 71400, None, None, 150000, 159600
4800-5400, 137886, 261920, 19, 111, 84, 56, 23, 0, 2.6103793984666797, None, None, None, None, 261600
5400-6000, 151936, 336988, 27, 135, 103, 61, 25, 0, 2.524595576097722, 93600, None, None, None, 336600
6000-6600, 163928, 414854, 33, 162, 123, 68, 30, 0, 3.7850039777247413, None, None, None, None, 414600
6600-7200, 173758, 265498, 30, 91, 68, 58, 35, 0, 3.168024482904179, None, None, 207600, None, 265200
7200-7800, 220905, 664736, 33, 222, 146, 79, 37, 0, 4.267789078511368, None, None, None, None, 664200
7800-8400, 285387, 405830, 31, 133, 100, 97, 42, 0, 4.592961938077586, None, None, None, None, 405600
