Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 91044, 92142, 3, 179, 178, 176, 2, 0, 0.06595744680851064, 18600, 37200, 54600, 72600, 91800
600-1200, 91270, 94503, 4, 157, 156, 152, 3, 0, 0.3282208588957055, 19800, 38400, 57000, 73800, 94200
1200-1800, 93255, 97260, 6, 111, 108, 106, 4, 0, 0.3529490796721752, 24000, 41400, 66600, 78000, 96600
1800-2400, 96671, 103255, 12, 97, 92, 90, 7, 0, 0.7517424031223864, None, 46800, 69000, 84000, 102600
2400-3000, 102721, 121041, 15, 91, 83, 77, 9, 0, 1.2172528433945757, None, 54000, None, 98400, 120000
3000-3600, 108052, 133073, 14, 84, 76, 69, 13, 0, 1.6497142674711873, 46200, 66000, None, 102000, 132600
3600-4200, 111649, 170574, 16, 108, 91, 68, 14, 0, 1.9246529672061587, 62400, 79200, None, 127800, 170400
4200-4800, 130456, 181106, 23, 105, 90, 72, 16, 0, 2.2484035367800566, 81600, 90600, None, None, 180600
4800-5400, 140562, 291030, 16, 147, 128, 74, 24, 0, 3.290313132388966, None, 110400, 140400, None, 291000
5400-6000, 148958, 304818, 25, 149, 123, 71, 26, 0, 2.893555113719024, 127200, None, None, None, 304200
6000-6600, 182840, 429573, 23, 197, 129, 89, 36, 0, 4.101597583213129, 116400, None, None, 210600, 429000
6600-7200, 166998, 370928, 19, 165, 82, 75, 36, 0, 4.684884735842275, None, None, None, None, 370800
7200-7800, 233574, 402344, 33, 181, 110, 103, 41, 0, 4.847020823311112, None, None, None, None, 401400
7800-8400, 276835, 595498, 31, 233, 169, 116, 44, 0, 8.381568995250053, 226200, None, None, None, 595200
