Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90073, 90073, 1, 184, None, 183, 1, 0, 0.03787878787878788, 18000, 36000, 54600, 72600, 90000
600-1200, 91806, 92624, 3, 145, 144, 142, 2, 0, 0.48687596500257335, 19200, 37200, 55800, 73200, 92400
1200-1800, 93660, 96779, 6, 99, 97, 94, 3, 0, 0.24283680920849063, 26400, 40200, 58200, 76800, 96600
1800-2400, 96776, 102217, 7, 81, 77, 76, 5, 0, 0.4999103782039792, 28200, 49800, None, 86400, 102000
2400-3000, 102257, 120482, 19, 85, 72, 68, 8, 0, 0.8577652485904664, 46200, 57600, 71400, None, 120000
3000-3600, 111886, 130333, 26, 78, 69, 68, 9, 0, 1.4419917864476386, None, None, 88200, None, 129600
3600-4200, 121592, 155946, 25, 97, 82, 74, 14, 0, 1.4257063845136468, 48600, None, None, None, 154800
4200-4800, 125119, 176835, 25, 92, 74, 63, 16, 0, 2.352876280535855, 64200, None, 100800, None, 176400
4800-5400, 132091, 297372, 22, 140, 117, 58, 26, 0, 2.137000341646737, None, 105600, None, None, 297000
5400-6000, 160694, 254627, 27, 121, 97, 75, 26, 0, 4.410171185262426, None, None, None, None, 254400
6000-6600, 188094, 384586, 30, 158, 128, 81, 32, 0, 4.300418938844291, None, None, 164400, 182400, 383400
6600-7200, 185812, 278592, 29, 121, 84, 76, 37, 0, 4.666344144283613, 201000, None, None, None, 278400
7200-7800, 237498, 688245, 29, 252, 205, 84, 39, 0, 4.971439092310879, 124200, None, None, None, 687600
7800-8400, 236908, 377072, 34, 139, 94, 86, 42, 0, 5.102241125470309, 142200, None, None, None, 376200
