Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90768, 91246, 1, 162, None, 160, 1, 0, 0.07037037037037037, 18000, 36000, 54600, 72600, 91200
600-1200, 91977, 93912, 3, 129, 128, 126, 2, 0, 0.06695778748180495, 20400, 39000, 54600, 76200, 93600
1200-1800, 93634, 99215, 7, 91, 89, 85, 2, 0, 0.1088098016336056, 24600, 41400, 64200, 80400, 99000
1800-2400, 97894, 110624, 9, 75, 69, 66, 4, 0, 0.44974653599188913, 37200, 50400, 64200, 85200, 110400
2400-3000, 103478, 126290, 10, 73, 66, 61, 6, 0, 0.7623574144486692, None, 57000, None, 90600, 126000
3000-3600, 114646, 140620, 12, 72, 62, 57, 11, 0, 1.3759919269758267, None, 75600, 79200, None, 140400
3600-4200, 130386, 170166, 16, 84, 68, 64, 10, 0, 1.753148214356652, 66600, None, 95400, None, 169800
4200-4800, 128440, 219400, 19, 99, 84, 61, 12, 0, 1.265935144297248, 75600, None, 106800, None, 219000
4800-5400, 148420, 246713, 13, 99, 77, 61, 26, 0, 3.9694325118697718, None, None, None, None, 246600
5400-6000, 175898, 389431, 18, 149, 123, 62, 24, 0, 4.195694846458395, None, None, None, None, 389400
6000-6600, 212774, 337428, 18, 121, 93, 79, 39, 0, 6.023387955963675, None, None, 171600, None, 337200
6600-7200, 223482, 389693, 18, 135, 107, 79, 27, 0, 4.212516630846382, None, None, None, None, 389400
7200-7800, 208882, 553340, 21, 179, 140, 66, 36, 0, 5.807504440497335, 132000, 208800, None, 303600, 553200
7800-8400, 309770, 602602, 22, 175, 135, 88, 44, 0, 6.333333333333333, 148800, None, None, None, 602400
