Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90126, 90126, 1, 207, None, 206, 3, 0, 0.2133492252681764, 18600, 37200, 54000, 72600, 90000
600-1200, 91305, 92557, 2, 171, 170, 167, 2, 0, 0.14133591481122942, 19800, 37800, 55200, 73800, 92400
1200-1800, 93781, 99328, 6, 134, 131, 126, 6, 0, 0.4419758412424504, 22800, 40800, 60600, 79200, 99000
1800-2400, 96848, 107461, 8, 126, 121, 113, 9, 0, 1.0532220943613348, 31800, 46200, 67200, 82800, 106800
2400-3000, 102732, 117337, 8, 126, 116, 108, 15, 0, 2.170079398244881, 44400, 51000, 78600, 88800, 117000
3000-3600, 109849, 148359, 13, 115, 94, 81, 16, 0, 1.9838018404134627, None, None, None, None, 148200
3600-4200, 115220, 145248, 15, 111, 86, 83, 23, 0, 3.4220367583344733, 72600, 88800, 107400, 125400, 144600
4200-4800, 131050, 203577, 13, 166, 134, 106, 37, 0, 4.690829605530704, 76800, None, 118800, None, 203400
4800-5400, 167601, 220373, 12, 154, 123, 119, 35, 0, 8.958919416327067, 82800, None, None, None, 220200
5400-6000, 168644, 300783, 17, 190, 135, 105, 52, 0, 10.210905518257738, None, None, None, None, 300000
6000-6600, 184478, 270551, 17, 170, 127, 118, 73, 0, 10.054173317059432, None, None, None, None, 270000
6600-7200, 205369, 430305, 15, 270, 210, 131, 81, 0, 16.880227906412898, None, None, None, 205800, 430200
7200-7800, 268994, 366115, 16, 240, 182, 178, 86, 0, 13.962949299040792, None, None, None, None, 366000
7800-8400, 261463, 482471, 15, 284, 194, 153, 126, 0, 14.855832549388523, None, None, None, None, 482400
