Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90115, 91065, 6, 175, 174, 173, 1, 0, 0.024553571428571428, 19200, 36600, 54600, 72600, 90600
600-1200, 90806, 91999, 3, 138, 137, 135, 2, 0, 0.12566844919786097, 19800, 39000, 55800, 74400, 91800
1200-1800, 93923, 97783, 10, 90, 88, 86, 3, 0, 0.1287089542397468, 24600, 40800, 60600, 78600, 97200
1800-2400, 96759, 104674, 11, 89, 84, 82, 6, 0, 0.5739109922943859, 37200, 48600, 64200, 82200, 103800
2400-3000, 100835, 135302, 12, 92, 82, 68, 7, 0, 0.727717125631416, 33600, 58800, 84600, 96600, 135000
3000-3600, 108472, 149636, 25, 94, 82, 68, 9, 0, 1.3061465721040189, None, 64200, 82800, None, 149400
3600-4200, 116579, 159147, 35, 81, 70, 61, 9, 0, 1.3834898338295545, 58200, None, 83400, 130200, 158400
4200-4800, 127535, 165151, 20, 83, 66, 63, 13, 0, 2.2274130789506716, None, None, None, None, 165000
4800-5400, 137050, 286993, 30, 126, 105, 63, 15, 0, 2.1652273335441654, 69000, None, None, None, 286200
5400-6000, 155645, 226938, 26, 97, 76, 64, 19, 0, 3.3395685762097975, None, None, None, None, 226800
6000-6600, 180331, 296801, 32, 124, 101, 80, 28, 0, 3.444963689061126, None, 144600, 169200, 181200, 296400
6600-7200, 225662, 430103, 27, 156, 98, 84, 35, 0, 4.224290672556491, None, 178800, None, 263400, 429600
7200-7800, 190765, 659442, 32, 243, 206, 70, 29, 0, 4.471725853879213, 123000, 205200, None, None, 658800
7800-8400, 233363, 596111, 36, 202, 141, 78, 47, 0, 4.278174877147382, None, 241800, None, None, 595800
