Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90038, 90922, 2, 181, 180, 179, 2, 0, 0.06451612903225806, 18600, 36600, 54600, 72600, 90600
600-1200, 90673, 91665, 3, 145, 143, 142, 2, 0, 0.1003659174072138, 19200, 38400, 56400, 73800, 91200
1200-1800, 93377, 96617, 7, 106, 103, 101, 3, 0, 0.27050594967753655, 22200, 42000, 59400, 76200, 96000
1800-2400, 96648, 107595, 11, 92, 88, 83, 6, 0, 0.5984279680900986, 34800, 45000, None, None, 107400
2400-3000, 103947, 117212, 10, 83, 76, 74, 8, 0, 0.9045350520760357, None, 60600, 75000, None, 117000
3000-3600, 112128, 134330, 14, 87, 75, 72, 13, 0, 1.8490245971162003, None, 60600, None, 108600, 133800
3600-4200, 124360, 214350, 15, 135, 117, 78, 15, 0, 1.9828827765316963, 71400, None, None, 109200, 214200
4200-4800, 140505, 217480, 20, 123, 110, 78, 19, 0, 3.6605354588187207, None, None, None, None, 217200
4800-5400, 132942, 184847, 15, 104, 81, 76, 26, 0, 3.7522372693434702, None, None, None, None, 184800
5400-6000, 163839, 249768, 18, 127, 99, 85, 27, 0, 3.532466929682061, None, None, None, 169800, 249600
6000-6600, 191081, 262821, 20, 130, 100, 98, 25, 0, 3.59575986565911, None, 150600, None, None, 262200
6600-7200, 168789, 304268, 21, 144, 102, 71, 54, 0, 7.714068388479757, None, None, None, None, 304200
7200-7800, 229333, 458116, 20, 200, 157, 104, 41, 0, 6.311628235460292, None, None, None, None, 457800
7800-8400, 298265, 553883, 22, 242, 176, 131, 62, 0, 7.287381446354475, None, None, 306000, None, 553200
