Contact time interval, Lastest block timestamp with transactions, Convergence speed, Number of blockchain, Length of the longest blockchain, Block index with forks occurred, The last block contains transactions, Max num of blocks, Min num of blocks, Avg num of blocks, Converge 20%, Converge 40%, Converge 60%, Converge 80%, Converge 100%
0-600, 90029, 91409, 2, 160, 159, 157, 1, 0, 0.007936507936507936, 18600, 36600, 54600, 72600, 91200
600-1200, 91372, 91951, 3, 124, 123, 122, 1, 0, 0.006344171292624901, 19800, 37200, 57000, 73800, 91800
1200-1800, 95452, 98066, 6, 80, 77, 75, 3, 0, 0.1387797117724125, 22800, 42000, 60000, 77400, 97800
1800-2400, 97344, 108639, 12, 67, 63, 60, 3, 0, 0.20839256826315014, 30000, None, None, 83400, 108600
2400-3000, 105831, 120772, 12, 60, 54, 50, 5, 0, 0.6268632268632268, None, None, 85200, 95400, 120600
3000-3600, 105090, 123311, 19, 54, 48, 46, 6, 0, 0.908367257923815, None, 67800, 87000, 103800, 123000
3600-4200, 116402, 252397, 19, 101, 93, 46, 9, 0, 0.9112438081020561, None, None, None, None, 252000
4200-4800, 124248, 173487, 20, 61, 50, 44, 11, 0, 1.8617037511827366, None, None, None, None, 173400
4800-5400, 144709, 215870, 21, 75, 63, 50, 15, 0, 1.723556639769813, None, 120600, None, None, 215400
5400-6000, 148239, 323594, 17, 106, 85, 47, 19, 0, 2.851897435897436, None, None, None, None, 323400
6000-6600, 171665, 501240, 30, 148, 129, 53, 17, 0, 3.521529020710816, 97200, None, None, None, 501000
6600-7200, 174006, 369988, 23, 106, 80, 44, 27, 0, 3.7063203420651694, 165000, None, None, None, 369600
7200-7800, 267789, 569090, 28, 153, 103, 75, 38, 0, 5.0896303285015865, None, None, None, None, 568800
7800-8400, 273165, 493488, 25, 128, 89, 72, 27, 0, 3.079408273745766, None, None, None, 267000, 493200
